dataset,round,train_accuracy,test_accuracy
fedprox_femnist,0,0.185007,0.192308
fedprox_femnist,1,0.250898,0.253638
fedprox_femnist,2,0.181658,0.168919
fedprox_femnist,3,0.217648,0.211538
fedprox_femnist,4,0.348517,0.343555
fedprox_femnist,5,0.288655,0.284304
fedprox_femnist,6,0.318373,0.309771
fedprox_femnist,7,0.261007,0.255717
fedprox_femnist,8,0.235552,0.238046
fedprox_femnist,9,0.218318,0.201663
fedprox_femnist,10,0.256075,0.242204
fedprox_femnist,11,0.373424,0.359148
fedprox_femnist,12,0.312344,0.306133
fedprox_femnist,13,0.314171,0.294699
fedprox_femnist,14,0.389379,0.370062
fedprox_femnist,15,0.284514,0.274428
fedprox_femnist,16,0.422995,0.39501
fedprox_femnist,17,0.433591,0.420478
fedprox_femnist,18,0.307472,0.310291
fedprox_femnist,19,0.425553,0.413721
fedprox_femnist,20,0.520066,0.493243
fedprox_femnist,21,0.271299,0.282744
fedprox_femnist,22,0.333293,0.337838
fedprox_femnist,23,0.325559,0.316008
fedprox_femnist,24,0.394008,0.383576
fedprox_femnist,25,0.592412,0.571206
fedprox_femnist,26,0.469094,0.454262
fedprox_femnist,27,0.439803,0.425156
fedprox_femnist,28,0.605322,0.579522
fedprox_femnist,29,0.632909,0.628898
fedprox_femnist,30,0.432678,0.428794
fedprox_femnist,31,0.611838,0.602911
fedprox_femnist,32,0.645332,0.647089
fedprox_femnist,33,0.639182,0.641372
fedprox_femnist,34,0.458194,0.462578
fedprox_femnist,35,0.617441,0.626819
fedprox_femnist,36,0.596614,0.58264
fedprox_femnist,37,0.563242,0.573285
fedprox_femnist,38,0.592473,0.600312
fedprox_femnist,39,0.51696,0.526507
fedprox_femnist,40,0.595396,0.612266
fedprox_femnist,41,0.357713,0.359667
fedprox_femnist,42,0.382498,0.376819
fedprox_femnist,43,0.529079,0.532225
fedprox_femnist,44,0.414408,0.424116
fedprox_femnist,45,0.553803,0.561331
fedprox_femnist,46,0.39961,0.411642
fedprox_femnist,47,0.30327,0.31237
fedprox_femnist,48,0.622191,0.627339
fedprox_femnist,49,0.547531,0.566528
fedprox_femnist,50,0.555447,0.569647
fedprox_femnist,51,0.50953,0.527547
fedprox_femnist,52,0.489434,0.49948
fedprox_femnist,53,0.431764,0.424116
fedprox_femnist,54,0.620425,0.629418
fedprox_femnist,55,0.510931,0.5
fedprox_femnist,56,0.518361,0.518711
fedprox_femnist,57,0.415383,0.410603
fedprox_femnist,58,0.622313,0.620582
fedprox_femnist,59,0.690275,0.705821
fedprox_femnist,60,0.660739,0.673597
fedprox_femnist,61,0.567018,0.556653
fedprox_femnist,62,0.659521,0.661642
fedprox_femnist,63,0.642105,0.64657
fedprox_femnist,64,0.619268,0.623181
fedprox_femnist,65,0.654467,0.670998
fedprox_femnist,66,0.355399,0.360707
fedprox_femnist,67,0.608002,0.596674
