dataset,round,train_accuracy,test_accuracy
fedprox_mnist,0,0.277959,0.27497
fedprox_mnist,1,0.347623,0.347744
fedprox_mnist,2,0.431187,0.433392
fedprox_mnist,3,0.505296,0.510096
fedprox_mnist,4,0.563038,0.56715
fedprox_mnist,5,0.587417,0.589104
fedprox_mnist,6,0.610368,0.61797
fedprox_mnist,7,0.250369,0.250305
fedprox_mnist,8,0.289751,0.287844
fedprox_mnist,9,0.436118,0.431901
fedprox_mnist,10,0.511557,0.504404
fedprox_mnist,11,0.573143,0.574604
fedprox_mnist,12,0.593921,0.592221
fedprox_mnist,13,0.653464,0.650224
fedprox_mnist,14,0.697046,0.692506
fedprox_mnist,15,0.742948,0.74319
fedprox_mnist,16,0.769192,0.772056
fedprox_mnist,17,0.726356,0.723811
fedprox_mnist,18,0.751723,0.751592
fedprox_mnist,19,0.538319,0.532728
fedprox_mnist,20,0.589055,0.582599
fedprox_mnist,21,0.519569,0.511316
fedprox_mnist,22,0.609995,0.609432
fedprox_mnist,23,0.683519,0.685052
fedprox_mnist,24,0.671338,0.670552
fedprox_mnist,25,0.820739,0.826941
fedprox_mnist,26,0.82275,0.830194
fedprox_mnist,27,0.811088,0.816642
fedprox_mnist,28,0.762493,0.765822
fedprox_mnist,29,0.70587,0.704296
fedprox_mnist,30,0.703388,0.699688
fedprox_mnist,31,0.698506,0.693996
fedprox_mnist,32,0.617456,0.612143
fedprox_mnist,33,0.618072,0.614717
fedprox_mnist,34,0.641137,0.636807
fedprox_mnist,35,0.633011,0.628947
fedprox_mnist,36,0.727929,0.733839
fedprox_mnist,37,0.650982,0.65456
fedprox_mnist,38,0.678604,0.679631
fedprox_mnist,39,0.733752,0.730316
fedprox_mnist,40,0.754043,0.74956
fedprox_mnist,41,0.754919,0.752677
fedprox_mnist,42,0.804795,0.801599
fedprox_mnist,43,0.537557,0.531373
fedprox_mnist,44,0.501517,0.500474
fedprox_mnist,45,0.53441,0.531644
fedprox_mnist,46,0.490179,0.485838
fedprox_mnist,47,0.498321,0.496544
fedprox_mnist,48,0.400435,0.395989
fedprox_mnist,49,0.467585,0.462529
fedprox_mnist,50,0.551214,0.54357
fedprox_mnist,51,0.59251,0.58802
fedprox_mnist,52,0.612103,0.608077
fedprox_mnist,53,0.615915,0.612278
fedprox_mnist,54,0.409323,0.401138
fedprox_mnist,55,0.423272,0.415639
fedprox_mnist,56,0.446645,0.438677
fedprox_mnist,57,0.47284,0.466052
fedprox_mnist,58,0.506853,0.499797
fedprox_mnist,59,0.518223,0.510774
fedprox_mnist,60,0.562195,0.559696
fedprox_mnist,61,0.584773,0.580295
fedprox_mnist,62,0.589363,0.585716
fedprox_mnist,63,0.56758,0.560916
fedprox_mnist,64,0.559957,0.554953
fedprox_mnist,65,0.571683,0.569996
fedprox_mnist,66,0.635541,0.635452
fedprox_mnist,67,0.65567,0.654425
fedprox_mnist,68,0.687834,0.691964
fedprox_mnist,69,0.684022,0.687763
fedprox_mnist,70,0.703469,0.7066
fedprox_mnist,71,0.788996,0.790893
fedprox_mnist,72,0.790683,0.792926
fedprox_mnist,73,0.793781,0.794959
fedprox_mnist,74,0.769873,0.77192
fedprox_mnist,75,0.749404,0.750373
fedprox_mnist,76,0.767148,0.772056
fedprox_mnist,77,0.773701,0.77829
fedprox_mnist,78,0.783222,0.78737
fedprox_mnist,79,0.752745,0.752541
fedprox_mnist,80,0.765526,0.767719
fedprox_mnist,81,0.778324,0.778832
fedprox_mnist,82,0.81112,0.814067
fedprox_mnist,83,0.811493,0.813796
fedprox_mnist,84,0.812256,0.815151
fedprox_mnist,85,0.815743,0.81759
fedprox_mnist,86,0.788867,0.78886
fedprox_mnist,87,0.797512,0.799024
fedprox_mnist,88,0.798388,0.800244
fedprox_mnist,89,0.799037,0.800922
fedprox_mnist,90,0.799669,0.800379
fedprox_mnist,91,0.800139,0.800922
fedprox_mnist,92,0.797917,0.797127
fedprox_mnist,93,0.793733,0.79401
fedprox_mnist,94,0.779751,0.783168
fedprox_mnist,95,0.784358,0.787641
fedprox_mnist,96,0.787537,0.788454
fedprox_mnist,97,0.792403,0.793875
fedprox_mnist,98,0.794576,0.794823
fedprox_mnist,99,0.798112,0.79794
fedprox_mnist,100,0.833001,0.833853
fedprox_mnist,101,0.83013,0.831956
fedprox_mnist,102,0.829108,0.830465
fedprox_mnist,103,0.828459,0.830329
fedprox_mnist,104,0.82421,0.828432
fedprox_mnist,105,0.827032,0.831413
fedprox_mnist,106,0.829222,0.834124
fedprox_mnist,107,0.84343,0.844559
fedprox_mnist,108,0.84283,0.843339
fedprox_mnist,109,0.837445,0.838189
fedprox_mnist,110,0.831346,0.832498
fedprox_mnist,111,0.831817,0.833311
fedprox_mnist,112,0.817349,0.818946
fedprox_mnist,113,0.814056,0.815829
fedprox_mnist,114,0.797058,0.798482
fedprox_mnist,115,0.767992,0.765686
fedprox_mnist,116,0.765997,0.763925
fedprox_mnist,117,0.753816,0.754303
fedprox_mnist,118,0.753394,0.754438
fedprox_mnist,119,0.763807,0.764738
fedprox_mnist,120,0.771641,0.774631
fedprox_mnist,121,0.761504,0.763789
fedprox_mnist,122,0.76092,0.76406
fedprox_mnist,123,0.766516,0.769345
fedprox_mnist,124,0.759622,0.762163
fedprox_mnist,125,0.757887,0.759995
fedprox_mnist,126,0.77143,0.772598
fedprox_mnist,127,0.77654,0.777206
fedprox_mnist,128,0.776118,0.776257
fedprox_mnist,129,0.772874,0.773818
fedprox_mnist,130,0.77555,0.776257
fedprox_mnist,131,0.777448,0.776528
fedprox_mnist,132,0.77242,0.772869
