dataset,round,train_accuracy,test_accuracy
fedprox_synthetic_0.5_0.5,0,0.47452,0.473684
fedprox_synthetic_0.5_0.5,1,0.363794,0.367325
fedprox_synthetic_0.5_0.5,2,0.348915,0.35636
fedprox_synthetic_0.5_0.5,3,0.261872,0.254386
fedprox_synthetic_0.5_0.5,4,0.201612,0.191886
fedprox_synthetic_0.5_0.5,5,0.171358,0.154605
fedprox_synthetic_0.5_0.5,6,0.16181,0.145833
fedprox_synthetic_0.5_0.5,7,0.159206,0.148026
fedprox_synthetic_0.5_0.5,8,0.151519,0.14364
fedprox_synthetic_0.5_0.5,9,0.157347,0.152412
fedprox_synthetic_0.5_0.5,10,0.460632,0.457237
fedprox_synthetic_0.5_0.5,11,0.419591,0.41557
fedprox_synthetic_0.5_0.5,12,0.349535,0.360746
fedprox_synthetic_0.5_0.5,13,0.317421,0.320175
fedprox_synthetic_0.5_0.5,14,0.299442,0.300439
fedprox_synthetic_0.5_0.5,15,0.530316,0.525219
fedprox_synthetic_0.5_0.5,16,0.474272,0.479167
fedprox_synthetic_0.5_0.5,17,0.546435,0.539474
fedprox_synthetic_0.5_0.5,18,0.483075,0.446272
fedprox_synthetic_0.5_0.5,19,0.478859,0.448465
fedprox_synthetic_0.5_0.5,20,0.474024,0.449561
fedprox_synthetic_0.5_0.5,21,0.467328,0.429825
fedprox_synthetic_0.5_0.5,22,0.465468,0.426535
fedprox_synthetic_0.5_0.5,23,0.483571,0.453947
fedprox_synthetic_0.5_0.5,24,0.489275,0.467105
fedprox_synthetic_0.5_0.5,25,0.624551,0.616228
fedprox_synthetic_0.5_0.5,26,0.620459,0.617325
fedprox_synthetic_0.5_0.5,27,0.603472,0.591009
fedprox_synthetic_0.5_0.5,28,0.591445,0.566886
fedprox_synthetic_0.5_0.5,29,0.635586,0.663377
fedprox_synthetic_0.5_0.5,30,0.620707,0.637061
fedprox_synthetic_0.5_0.5,31,0.615375,0.628289
fedprox_synthetic_0.5_0.5,32,0.654557,0.673246
fedprox_synthetic_0.5_0.5,33,0.62579,0.639254
fedprox_synthetic_0.5_0.5,34,0.635958,0.669956
fedprox_synthetic_0.5_0.5,35,0.627774,0.649123
fedprox_synthetic_0.5_0.5,36,0.635586,0.66557
fedprox_synthetic_0.5_0.5,37,0.635586,0.639254
fedprox_synthetic_0.5_0.5,38,0.664848,0.672149
fedprox_synthetic_0.5_0.5,39,0.668816,0.676535
fedprox_synthetic_0.5_0.5,40,0.661624,0.663377
fedprox_synthetic_0.5_0.5,41,0.651085,0.652412
fedprox_synthetic_0.5_0.5,42,0.647117,0.64693
fedprox_synthetic_0.5_0.5,43,0.654681,0.653509
fedprox_synthetic_0.5_0.5,44,0.648233,0.641447
fedprox_synthetic_0.5_0.5,45,0.641909,0.633772
fedprox_synthetic_0.5_0.5,46,0.636702,0.622807
fedprox_synthetic_0.5_0.5,47,0.632362,0.620614
fedprox_synthetic_0.5_0.5,48,0.623187,0.627193
fedprox_synthetic_0.5_0.5,49,0.596404,0.607456
fedprox_synthetic_0.5_0.5,50,0.62765,0.650219
fedprox_synthetic_0.5_0.5,51,0.584749,0.60307
fedprox_synthetic_0.5_0.5,52,0.582889,0.60307
fedprox_synthetic_0.5_0.5,53,0.56181,0.566886
fedprox_synthetic_0.5_0.5,54,0.556479,0.554825
fedprox_synthetic_0.5_0.5,55,0.578425,0.578947
fedprox_synthetic_0.5_0.5,56,0.537508,0.544956
fedprox_synthetic_0.5_0.5,57,0.449969,0.446272
fedprox_synthetic_0.5_0.5,58,0.376937,0.362939
fedprox_synthetic_0.5_0.5,59,0.622443,0.620614
fedprox_synthetic_0.5_0.5,60,0.549535,0.528509
fedprox_synthetic_0.5_0.5,61,0.457533,0.432018
fedprox_synthetic_0.5_0.5,62,0.605332,0.601974
fedprox_synthetic_0.5_0.5,63,0.649969,0.652412
fedprox_synthetic_0.5_0.5,64,0.664848,0.669956
fedprox_synthetic_0.5_0.5,65,0.676875,0.685307
fedprox_synthetic_0.5_0.5,66,0.693366,0.700658
fedprox_synthetic_0.5_0.5,67,0.709857,0.726974
