dataset,round,train_accuracy,test_accuracy
fedprox_synthetic_0_0,0,0.121625,0.130435
fedprox_synthetic_0_0,1,0.270124,0.263099
fedprox_synthetic_0_0,2,0.066112,0.063545
fedprox_synthetic_0_0,3,0.059677,0.054627
fedprox_synthetic_0_0,4,0.39137,0.379041
fedprox_synthetic_0_0,5,0.587055,0.575251
fedprox_synthetic_0_0,6,0.59248,0.586399
fedprox_synthetic_0_0,7,0.606359,0.599777
fedprox_synthetic_0_0,8,0.613298,0.606466
fedprox_synthetic_0_0,9,0.604719,0.599777
fedprox_synthetic_0_0,10,0.626041,0.620959
fedprox_synthetic_0_0,11,0.640172,0.645485
fedprox_synthetic_0_0,12,0.629447,0.634337
fedprox_synthetic_0_0,13,0.58592,0.602007
fedprox_synthetic_0_0,14,0.546808,0.566332
fedprox_synthetic_0_0,15,0.628817,0.64437
fedprox_synthetic_0_0,16,0.605223,0.60981
fedprox_synthetic_0_0,17,0.58491,0.584169
fedprox_synthetic_0_0,18,0.608377,0.607581
fedprox_synthetic_0_0,19,0.614434,0.617614
fedprox_synthetic_0_0,20,0.609765,0.613155
fedprox_synthetic_0_0,21,0.566869,0.587514
fedprox_synthetic_0_0,22,0.619228,0.626533
fedprox_synthetic_0_0,23,0.66326,0.671126
fedprox_synthetic_0_0,24,0.675877,0.681159
fedprox_synthetic_0_0,25,0.727353,0.744705
fedprox_synthetic_0_0,26,0.759904,0.765886
fedprox_synthetic_0_0,27,0.763184,0.765886
fedprox_synthetic_0_0,28,0.761544,0.767001
fedprox_synthetic_0_0,29,0.765455,0.767001
fedprox_synthetic_0_0,30,0.747792,0.772575
fedprox_synthetic_0_0,31,0.717133,0.738016
fedprox_synthetic_0_0,32,0.708302,0.713489
fedprox_synthetic_0_0,33,0.707797,0.713489
fedprox_synthetic_0_0,34,0.747161,0.751394
fedprox_synthetic_0_0,35,0.741105,0.742475
fedprox_synthetic_0_0,36,0.735302,0.742475
fedprox_synthetic_0_0,37,0.721549,0.720178
fedprox_synthetic_0_0,38,0.692657,0.680045
fedprox_synthetic_0_0,39,0.689503,0.681159
fedprox_synthetic_0_0,40,0.635377,0.604236
fedprox_synthetic_0_0,41,0.622256,0.606466
fedprox_synthetic_0_0,42,0.554504,0.545151
fedprox_synthetic_0_0,43,0.527378,0.527313
fedprox_synthetic_0_0,44,0.512238,0.512821
fedprox_synthetic_0_0,45,0.551476,0.548495
fedprox_synthetic_0_0,46,0.574691,0.559643
fedprox_synthetic_0_0,47,0.586551,0.570792
fedprox_synthetic_0_0,48,0.591976,0.573021
fedprox_synthetic_0_0,49,0.60762,0.605351
fedprox_synthetic_0_0,50,0.619733,0.623188
fedprox_synthetic_0_0,51,0.651905,0.659978
fedprox_synthetic_0_0,52,0.659475,0.666667
fedprox_synthetic_0_0,53,0.667045,0.677815
fedprox_synthetic_0_0,54,0.69026,0.702341
fedprox_synthetic_0_0,55,0.702877,0.707915
fedprox_synthetic_0_0,56,0.694297,0.703456
fedprox_synthetic_0_0,57,0.698965,0.702341
fedprox_synthetic_0_0,58,0.692783,0.694537
fedprox_synthetic_0_0,59,0.689755,0.690078
fedprox_synthetic_0_0,60,0.65569,0.647715
fedprox_synthetic_0_0,61,0.627429,0.630992
fedprox_synthetic_0_0,62,0.695307,0.71126
fedprox_synthetic_0_0,63,0.679536,0.687848
fedprox_synthetic_0_0,64,0.685844,0.697882
fedprox_synthetic_0_0,65,0.614181,0.636566
fedprox_synthetic_0_0,66,0.564471,0.57971
fedprox_synthetic_0_0,67,0.525107,0.554069
fedprox_synthetic_0_0,68,0.533939,0.559643
fedprox_synthetic_0_0,69,0.532677,0.557414
fedprox_synthetic_0_0,70,0.622508,0.617614
fedprox_synthetic_0_0,71,0.640298,0.639911
fedprox_synthetic_0_0,72,0.652284,0.647715
fedprox_synthetic_0_0,73,0.659349,0.656633
fedprox_synthetic_0_0,74,0.66755,0.666667
fedprox_synthetic_0_0,75,0.620742,0.622074
fedprox_synthetic_0_0,76,0.610648,0.608696
fedprox_synthetic_0_0,77,0.621373,0.618729
fedprox_synthetic_0_0,78,0.63298,0.637681
fedprox_synthetic_0_0,79,0.653419,0.662207
fedprox_synthetic_0_0,80,0.685213,0.694537
fedprox_synthetic_0_0,81,0.684456,0.691193
fedprox_synthetic_0_0,82,0.636513,0.651059
fedprox_synthetic_0_0,83,0.606485,0.626533
fedprox_synthetic_0_0,84,0.519556,0.552954
fedprox_synthetic_0_0,85,0.488393,0.512821
fedprox_synthetic_0_0,86,0.480696,0.486065
fedprox_synthetic_0_0,87,0.48814,0.493868
fedprox_synthetic_0_0,88,0.489276,0.494983
