dataset,round,train_accuracy,test_accuracy
fedprox_synthetic_iid,0,0.538721,0.524224
fedprox_synthetic_iid,1,0.530273,0.556522
fedprox_synthetic_iid,2,0.591664,0.575155
fedprox_synthetic_iid,3,0.602506,0.581366
fedprox_synthetic_iid,4,0.556885,0.535404
fedprox_synthetic_iid,5,0.580259,0.550311
fedprox_synthetic_iid,6,0.576176,0.53913
fedprox_synthetic_iid,7,0.57336,0.540373
fedprox_synthetic_iid,8,0.569417,0.549068
fedprox_synthetic_iid,9,0.576035,0.561491
fedprox_synthetic_iid,10,0.578006,0.563975
fedprox_synthetic_iid,11,0.58223,0.570186
fedprox_synthetic_iid,12,0.58575,0.573913
fedprox_synthetic_iid,13,0.589271,0.57764
fedprox_synthetic_iid,14,0.590679,0.576398
fedprox_synthetic_iid,15,0.592791,0.576398
fedprox_synthetic_iid,16,0.592932,0.575155
fedprox_synthetic_iid,17,0.593636,0.576398
fedprox_synthetic_iid,18,0.596874,0.581366
fedprox_synthetic_iid,19,0.596874,0.582609
fedprox_synthetic_iid,20,0.598141,0.581366
fedprox_synthetic_iid,21,0.599127,0.570186
fedprox_synthetic_iid,22,0.599268,0.573913
fedprox_synthetic_iid,23,0.606871,0.578882
fedprox_synthetic_iid,24,0.609124,0.580124
fedprox_synthetic_iid,25,0.610532,0.583851
fedprox_synthetic_iid,26,0.61194,0.585093
fedprox_synthetic_iid,27,0.614756,0.587578
fedprox_synthetic_iid,28,0.617713,0.590062
fedprox_synthetic_iid,29,0.618699,0.592547
fedprox_synthetic_iid,30,0.619403,0.595031
fedprox_synthetic_iid,31,0.621937,0.6
fedprox_synthetic_iid,32,0.63292,0.613665
fedprox_synthetic_iid,33,0.637285,0.614907
fedprox_synthetic_iid,34,0.638412,0.617391
fedprox_synthetic_iid,35,0.639961,0.619876
fedprox_synthetic_iid,36,0.651507,0.631056
fedprox_synthetic_iid,37,0.654041,0.632298
fedprox_synthetic_iid,38,0.656435,0.634783
fedprox_synthetic_iid,39,0.668122,0.650932
fedprox_synthetic_iid,40,0.669811,0.653416
fedprox_synthetic_iid,41,0.669671,0.654658
fedprox_synthetic_iid,42,0.679386,0.662112
fedprox_synthetic_iid,43,0.681498,0.663354
fedprox_synthetic_iid,44,0.682202,0.663354
fedprox_synthetic_iid,45,0.691214,0.668323
fedprox_synthetic_iid,46,0.692199,0.667081
fedprox_synthetic_iid,47,0.693326,0.669565
fedprox_synthetic_iid,48,0.695297,0.668323
fedprox_synthetic_iid,49,0.704309,0.678261
fedprox_synthetic_iid,50,0.712475,0.679503
fedprox_synthetic_iid,51,0.714024,0.681988
fedprox_synthetic_iid,52,0.714306,0.681988
fedprox_synthetic_iid,53,0.722613,0.685714
fedprox_synthetic_iid,54,0.724866,0.686957
fedprox_synthetic_iid,55,0.725289,0.686957
fedprox_synthetic_iid,56,0.725852,0.686957
fedprox_synthetic_iid,57,0.726274,0.686957
fedprox_synthetic_iid,58,0.731907,0.690683
fedprox_synthetic_iid,59,0.732611,0.690683
fedprox_synthetic_iid,60,0.738243,0.698137
fedprox_synthetic_iid,61,0.745987,0.70559
fedprox_synthetic_iid,62,0.745846,0.70559
fedprox_synthetic_iid,63,0.747395,0.708075
fedprox_synthetic_iid,64,0.751478,0.71677
fedprox_synthetic_iid,65,0.752746,0.718012
fedprox_synthetic_iid,66,0.753591,0.719255
fedprox_synthetic_iid,67,0.7588,0.72795
fedprox_synthetic_iid,68,0.765981,0.729193
fedprox_synthetic_iid,69,0.766545,0.731677
fedprox_synthetic_iid,70,0.770487,0.736646
fedprox_synthetic_iid,71,0.770769,0.737888
fedprox_synthetic_iid,72,0.774289,0.742857
fedprox_synthetic_iid,73,0.774852,0.744099
fedprox_synthetic_iid,74,0.775275,0.744099
fedprox_synthetic_iid,75,0.778231,0.749068
fedprox_synthetic_iid,76,0.781611,0.75528
fedprox_synthetic_iid,77,0.785553,0.760248
fedprox_synthetic_iid,78,0.785694,0.760248
fedprox_synthetic_iid,79,0.790482,0.761491
fedprox_synthetic_iid,80,0.794565,0.76646
fedprox_synthetic_iid,81,0.794424,0.765217
fedprox_synthetic_iid,82,0.794424,0.767702
