dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_femnist,0,0.185007,0.192308,2.471374,2.458497
fedprox_femnist,1,0.148408,0.14605,2.3636,2.347737
fedprox_femnist,2,0.201206,0.191788,3.172327,3.163621
fedprox_femnist,3,0.241885,0.232848,2.660477,2.70116
fedprox_femnist,4,0.297302,0.29262,2.875559,2.909866
fedprox_femnist,5,0.286767,0.285863,3.439213,3.539779
fedprox_femnist,6,0.308812,0.305613,17.924738,18.168942
fedprox_femnist,7,0.274222,0.273909,10.136574,10.318186
fedprox_femnist,8,0.233725,0.237006,9.47798,9.646987
fedprox_femnist,9,0.214177,0.200104,5.947707,6.087928
fedprox_femnist,10,0.272273,0.253119,3.82525,3.898742
fedprox_femnist,11,0.396931,0.384096,2.972033,3.051593
fedprox_femnist,12,0.310761,0.298857,3.874215,4.04157
fedprox_femnist,13,0.327934,0.31289,2.968113,3.105813
fedprox_femnist,14,0.322757,0.308732,2.994951,3.091975
fedprox_femnist,15,0.282626,0.268711,4.053013,4.179958
fedprox_femnist,16,0.440594,0.422557,2.644678,2.739898
fedprox_femnist,17,0.423665,0.402287,3.160783,3.315738
fedprox_femnist,18,0.308873,0.31185,2.989986,3.092305
fedprox_femnist,19,0.427501,0.418399,1.963938,2.051004
fedprox_femnist,20,0.526886,0.507796,1.648494,1.698089
fedprox_femnist,21,0.261799,0.27183,4.740752,4.76949
fedprox_femnist,22,0.372754,0.370582,2.781358,2.831211
fedprox_femnist,23,0.366543,0.355509,2.590325,2.697336
fedprox_femnist,24,0.398879,0.390852,2.364449,2.484695
fedprox_femnist,25,0.601973,0.5842,1.276118,1.317477
fedprox_femnist,26,0.480421,0.468295,1.660069,1.703747
fedprox_femnist,27,0.456854,0.440748,2.069233,2.100927
fedprox_femnist,28,0.61263,0.594075,1.445427,1.499561
fedprox_femnist,29,0.621278,0.614345,1.136184,1.1541
fedprox_femnist,30,0.408867,0.403326,2.142578,2.163931
fedprox_femnist,31,0.641861,0.64501,1.115536,1.126849
fedprox_femnist,32,0.644236,0.641892,1.051586,1.045796
fedprox_femnist,33,0.646124,0.648129,1.055333,1.048895
fedprox_femnist,34,0.44705,0.446985,1.728256,1.71738
fedprox_femnist,35,0.650874,0.64657,1.111071,1.099962
fedprox_femnist,36,0.605871,0.598233,1.198795,1.206766
fedprox_femnist,37,0.532184,0.534304,1.397764,1.369104
fedprox_femnist,38,0.616954,0.628378,1.158174,1.164678
fedprox_femnist,39,0.527191,0.536383,1.556896,1.541978
fedprox_femnist,40,0.583826,0.593555,1.287703,1.254561
fedprox_femnist,41,0.454966,0.455821,1.81022,1.786691
fedprox_femnist,42,0.418367,0.4158,2.133663,2.107714
fedprox_femnist,43,0.529505,0.522869,1.589282,1.575009
fedprox_femnist,44,0.426527,0.441268,2.070393,2.032868
fedprox_femnist,45,0.562572,0.573285,1.425584,1.404272
fedprox_femnist,46,0.422812,0.435551,2.084596,2.027443
fedprox_femnist,47,0.304062,0.311331,4.978407,4.983885
fedprox_femnist,48,0.633335,0.636175,1.171111,1.150634
fedprox_femnist,49,0.569027,0.590437,1.394458,1.373444
fedprox_femnist,50,0.555995,0.566528,1.452178,1.416229
fedprox_femnist,51,0.522197,0.533264,1.561964,1.510048
fedprox_femnist,52,0.46946,0.488046,1.895965,1.840803
fedprox_femnist,53,0.409841,0.408004,2.331812,2.292127
fedprox_femnist,54,0.617989,0.635135,1.21077,1.195077
