dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_mnist,0,0.277959,0.27497,3.00918,3.009455
fedprox_mnist,1,0.347574,0.346659,2.504459,2.500946
fedprox_mnist,2,0.429922,0.430953,2.288061,2.287227
fedprox_mnist,3,0.504144,0.508199,1.820543,1.822596
fedprox_mnist,4,0.562584,0.567421,1.561971,1.549626
fedprox_mnist,5,0.587238,0.589646,1.484897,1.463219
fedprox_mnist,6,0.609881,0.618512,1.427971,1.409423
fedprox_mnist,7,0.25058,0.250576,10.986068,10.971349
fedprox_mnist,8,0.289848,0.288521,9.659362,9.616171
fedprox_mnist,9,0.43568,0.432714,6.222063,6.197889
fedprox_mnist,10,0.510178,0.503998,4.772516,4.74299
fedprox_mnist,11,0.572851,0.574739,3.575368,3.609273
fedprox_mnist,12,0.594148,0.592086,3.180404,3.196524
fedprox_mnist,13,0.652231,0.64941,2.435915,2.42868
fedprox_mnist,14,0.696349,0.691015,1.953956,1.932723
fedprox_mnist,15,0.743078,0.742106,1.669039,1.640264
fedprox_mnist,16,0.768965,0.772191,1.443952,1.408552
fedprox_mnist,17,0.72548,0.72354,1.98347,1.969422
fedprox_mnist,18,0.751642,0.751321,1.812496,1.799172
fedprox_mnist,19,0.537979,0.531915,5.011162,5.030747
fedprox_mnist,20,0.589915,0.583006,4.464663,4.47661
fedprox_mnist,21,0.520315,0.514162,6.536474,6.522852
fedprox_mnist,22,0.609703,0.609703,4.648429,4.651191
fedprox_mnist,23,0.68433,0.685594,3.482666,3.425356
fedprox_mnist,24,0.672522,0.670009,3.761264,3.693875
fedprox_mnist,25,0.820512,0.82667,1.515483,1.511165
fedprox_mnist,26,0.822263,0.827348,1.489213,1.483493
fedprox_mnist,27,0.810796,0.815287,1.564611,1.572182
fedprox_mnist,28,0.76285,0.765551,2.577533,2.552212
fedprox_mnist,29,0.706129,0.704703,3.78165,3.761089
fedprox_mnist,30,0.70394,0.699824,3.841727,3.81802
fedprox_mnist,31,0.698668,0.69359,4.00407,3.980029
fedprox_mnist,32,0.617926,0.612414,6.24016,6.283201
fedprox_mnist,33,0.619045,0.616073,6.245182,6.264218
fedprox_mnist,34,0.642013,0.64006,5.819586,5.857752
fedprox_mnist,35,0.633708,0.629489,6.029187,6.077222
fedprox_mnist,36,0.728156,0.733433,3.918413,3.98558
fedprox_mnist,37,0.651274,0.654018,4.315105,4.354689
fedprox_mnist,38,0.678394,0.679089,3.673968,3.731551
fedprox_mnist,39,0.733476,0.730722,3.058382,3.142667
fedprox_mnist,40,0.754351,0.750102,3.03271,3.138491
fedprox_mnist,41,0.754984,0.75227,2.828279,2.901617
fedprox_mnist,42,0.804389,0.801057,2.016527,2.078781
fedprox_mnist,43,0.537297,0.530289,10.313476,10.38727
fedprox_mnist,44,0.502068,0.500745,13.15133,13.24571
fedprox_mnist,45,0.535173,0.532321,12.227408,12.383204
fedprox_mnist,46,0.490374,0.486787,17.285726,17.218305
fedprox_mnist,47,0.498191,0.496409,17.005794,16.925882
fedprox_mnist,48,0.400792,0.396937,28.391152,28.558116
fedprox_mnist,49,0.46765,0.463071,23.665305,23.868396
fedprox_mnist,50,0.551117,0.543705,17.660592,17.883782
fedprox_mnist,51,0.592542,0.589104,14.668971,14.770799
fedprox_mnist,52,0.612444,0.60767,14.703261,14.833554
fedprox_mnist,53,0.615688,0.613227,14.689244,14.811351
fedprox_mnist,54,0.409631,0.401138,45.878613,46.739979
fedprox_mnist,55,0.423564,0.41591,47.163167,47.911582
fedprox_mnist,56,0.447083,0.438948,44.447281,45.168317
fedprox_mnist,57,0.473229,0.466865,41.118068,41.628694
