dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_0.5_0.5,0,0.47452,0.473684,1.773929,1.771514
fedprox_synthetic_0.5_0.5,1,0.353875,0.351974,34.367493,34.829865
fedprox_synthetic_0.5_0.5,2,0.333168,0.33443,33.627384,34.113617
fedprox_synthetic_0.5_0.5,3,0.241909,0.233553,27.313461,28.007909
fedprox_synthetic_0.5_0.5,4,0.191569,0.183114,26.918826,27.623506
fedprox_synthetic_0.5_0.5,5,0.16677,0.150219,25.438484,26.163668
fedprox_synthetic_0.5_0.5,6,0.161934,0.144737,24.715672,25.513336
fedprox_synthetic_0.5_0.5,7,0.160074,0.148026,24.126889,24.99156
fedprox_synthetic_0.5_0.5,8,0.152635,0.144737,24.126928,25.04728
fedprox_synthetic_0.5_0.5,9,0.157843,0.152412,22.607986,23.584562
fedprox_synthetic_0.5_0.5,10,0.452449,0.444079,14.065147,15.689767
fedprox_synthetic_0.5_0.5,11,0.406448,0.414474,13.52961,15.135115
fedprox_synthetic_0.5_0.5,12,0.33912,0.344298,14.800497,16.294518
fedprox_synthetic_0.5_0.5,13,0.309361,0.314693,17.716807,18.997364
fedprox_synthetic_0.5_0.5,14,0.298698,0.300439,24.254747,25.197408
fedprox_synthetic_0.5_0.5,15,0.524241,0.516447,17.069828,19.636955
fedprox_synthetic_0.5_0.5,16,0.479231,0.482456,29.220783,33.102806
fedprox_synthetic_0.5_0.5,17,0.552387,0.544956,19.88153,22.767258
fedprox_synthetic_0.5_0.5,18,0.488903,0.455044,20.216164,23.287752
fedprox_synthetic_0.5_0.5,19,0.484191,0.446272,20.313183,23.373951
fedprox_synthetic_0.5_0.5,20,0.480967,0.457237,20.34337,23.31297
fedprox_synthetic_0.5_0.5,21,0.47328,0.439693,20.450224,23.253683
fedprox_synthetic_0.5_0.5,22,0.47018,0.435307,20.854412,23.599098
fedprox_synthetic_0.5_0.5,23,0.483199,0.457237,22.528363,25.161324
fedprox_synthetic_0.5_0.5,24,0.489523,0.467105,23.587598,26.230924
fedprox_synthetic_0.5_0.5,25,0.615375,0.60636,12.019628,13.27355
fedprox_synthetic_0.5_0.5,26,0.612895,0.605263,12.315462,13.541957
fedprox_synthetic_0.5_0.5,27,0.598884,0.576754,12.62975,13.864994
fedprox_synthetic_0.5_0.5,28,0.584873,0.566886,13.094141,14.29269
fedprox_synthetic_0.5_0.5,29,0.642281,0.666667,16.434728,16.450356
fedprox_synthetic_0.5_0.5,30,0.629262,0.64693,16.03112,16.034104
fedprox_synthetic_0.5_0.5,31,0.626038,0.641447,15.706221,15.703019
fedprox_synthetic_0.5_0.5,32,0.648977,0.673246,13.611859,13.236184
fedprox_synthetic_0.5_0.5,33,0.622319,0.640351,13.842802,13.462284
fedprox_synthetic_0.5_0.5,34,0.625666,0.644737,16.293274,16.12901
