dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_0_0,0,0.121625,0.130435,2.413177,2.413524
fedprox_synthetic_0_0,1,0.270376,0.263099,6.325451,6.35795
fedprox_synthetic_0_0,2,0.067373,0.063545,9.130212,9.17955
fedprox_synthetic_0_0,3,0.059929,0.055741,9.380439,9.432607
fedprox_synthetic_0_0,4,0.39238,0.380156,4.616163,4.67687
fedprox_synthetic_0_0,5,0.58491,0.576366,2.612729,2.644395
fedprox_synthetic_0_0,6,0.590336,0.586399,2.207576,2.208963
fedprox_synthetic_0_0,7,0.609008,0.600892,2.002685,1.990152
fedprox_synthetic_0_0,8,0.617588,0.610925,2.405015,2.369033
fedprox_synthetic_0_0,9,0.609513,0.60981,2.22506,2.178467
fedprox_synthetic_0_0,10,0.630583,0.622074,2.102666,2.047522
fedprox_synthetic_0_0,11,0.645597,0.647715,2.218902,2.146613
fedprox_synthetic_0_0,12,0.635503,0.636566,2.128669,2.041799
fedprox_synthetic_0_0,13,0.591093,0.602007,2.15728,2.047971
fedprox_synthetic_0_0,14,0.549457,0.565217,2.078568,1.983003
fedprox_synthetic_0_0,15,0.627807,0.64214,2.235321,2.211122
fedprox_synthetic_0_0,16,0.607494,0.608696,2.642662,2.69069
fedprox_synthetic_0_0,17,0.585037,0.585284,3.012001,3.14496
fedprox_synthetic_0_0,18,0.607494,0.606466,3.519038,3.721656
fedprox_synthetic_0_0,19,0.61355,0.616499,3.723915,3.955204
fedprox_synthetic_0_0,20,0.606737,0.610925,3.462328,3.659977
fedprox_synthetic_0_0,21,0.555892,0.57971,3.226081,3.317408
fedprox_synthetic_0_0,22,0.612036,0.624303,2.757604,2.800742
fedprox_synthetic_0_0,23,0.66162,0.675585,2.206263,2.256929
fedprox_synthetic_0_0,24,0.673984,0.682274,1.991786,2.02148
fedprox_synthetic_0_0,25,0.727101,0.750279,1.610306,1.537963
fedprox_synthetic_0_0,26,0.759778,0.765886,1.418698,1.244411
fedprox_synthetic_0_0,27,0.761797,0.768116,1.451032,1.252937
fedprox_synthetic_0_0,28,0.759147,0.763657,1.502268,1.286619
fedprox_synthetic_0_0,29,0.766465,0.77146,1.534031,1.313326
fedprox_synthetic_0_0,30,0.73076,0.760312,1.76067,1.567348
fedprox_synthetic_0_0,31,0.67348,0.697882,1.969779,1.782686
fedprox_synthetic_0_0,32,0.665405,0.662207,2.07212,1.892701
fedprox_synthetic_0_0,33,0.662882,0.665552,2.124659,1.964546
fedprox_synthetic_0_0,34,0.748801,0.749164,2.232845,2.152949
fedprox_synthetic_0_0,35,0.74325,0.746934,2.281199,2.232743
fedprox_synthetic_0_0,36,0.733535,0.74136,2.299226,2.299372
fedprox_synthetic_0_0,37,0.720414,0.716834,2.110399,2.13982
fedprox_synthetic_0_0,38,0.695937,0.688963,1.92917,2.042936
fedprox_synthetic_0_0,39,0.693288,0.688963,2.685177,2.908531
fedprox_synthetic_0_0,40,0.655564,0.647715,3.9168,4.306732
fedprox_synthetic_0_0,41,0.644714,0.637681,4.230549,4.641847
fedprox_synthetic_0_0,42,0.568383,0.567447,4.756555,5.185419
fedprox_synthetic_0_0,43,0.540373,0.538462,4.707862,5.051005
fedprox_synthetic_0_0,44,0.527378,0.537347,4.756474,5.043989
fedprox_synthetic_0_0,45,0.560434,0.552954,6.040624,6.322014
