dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_iid,0,0.538721,0.524224,1.839744,1.844712
fedprox_synthetic_iid,1,0.530132,0.556522,1.776461,1.71204
fedprox_synthetic_iid,2,0.592087,0.575155,1.489544,1.671583
fedprox_synthetic_iid,3,0.601802,0.582609,1.376089,1.550288
fedprox_synthetic_iid,4,0.555759,0.536646,2.028234,2.312481
fedprox_synthetic_iid,5,0.580118,0.550311,1.77768,2.040058
fedprox_synthetic_iid,6,0.576598,0.540373,1.840783,2.129093
fedprox_synthetic_iid,7,0.572937,0.540373,1.807267,2.091559
fedprox_synthetic_iid,8,0.570684,0.549068,1.835381,2.138978
fedprox_synthetic_iid,9,0.574204,0.559006,1.758278,2.062123
fedprox_synthetic_iid,10,0.576457,0.562733,1.748785,2.05473
fedprox_synthetic_iid,11,0.58209,0.568944,1.706453,2.011971
fedprox_synthetic_iid,12,0.584061,0.571429,1.695945,2.002863
fedprox_synthetic_iid,13,0.587722,0.578882,1.687509,1.997262
fedprox_synthetic_iid,14,0.591946,0.57764,1.682645,1.994536
fedprox_synthetic_iid,15,0.592368,0.57764,1.675719,1.988352
fedprox_synthetic_iid,16,0.592791,0.576398,1.673378,1.986402
fedprox_synthetic_iid,17,0.594058,0.576398,1.670991,1.984575
fedprox_synthetic_iid,18,0.596874,0.581366,1.669458,1.984611
fedprox_synthetic_iid,19,0.597015,0.581366,1.667423,1.982742
fedprox_synthetic_iid,20,0.598141,0.582609,1.662311,1.977515
fedprox_synthetic_iid,21,0.597719,0.570186,1.655128,1.967158
fedprox_synthetic_iid,22,0.599268,0.572671,1.651477,1.964717
fedprox_synthetic_iid,23,0.606871,0.57764,1.633844,1.95035
fedprox_synthetic_iid,24,0.609969,0.585093,1.629823,1.94891
fedprox_synthetic_iid,25,0.610532,0.586335,1.622142,1.940682
fedprox_synthetic_iid,26,0.611799,0.587578,1.613799,1.931415
fedprox_synthetic_iid,27,0.614475,0.590062,1.600664,1.91764
fedprox_synthetic_iid,28,0.616024,0.592547,1.587629,1.903142
fedprox_synthetic_iid,29,0.618277,0.595031,1.575025,1.888168
fedprox_synthetic_iid,30,0.61884,0.597516,1.568799,1.88106
fedprox_synthetic_iid,31,0.622219,0.598758,1.548789,1.858346
fedprox_synthetic_iid,32,0.633202,0.61118,1.446282,1.739318
fedprox_synthetic_iid,33,0.636159,0.616149,1.429193,1.720702
fedprox_synthetic_iid,34,0.638271,0.619876,1.419858,1.710901
fedprox_synthetic_iid,35,0.640242,0.621118,1.410532,1.700392
fedprox_synthetic_iid,36,0.650803,0.631056,1.324295,1.598591
fedprox_synthetic_iid,37,0.653055,0.63354,1.311808,1.584287
fedprox_synthetic_iid,38,0.654745,0.634783,1.303213,1.574409
fedprox_synthetic_iid,39,0.666854,0.648447,1.219626,1.474724
fedprox_synthetic_iid,40,0.667699,0.649689,1.213821,1.468229
fedprox_synthetic_iid,41,0.669107,0.649689,1.210841,1.464557
fedprox_synthetic_iid,42,0.678823,0.657143,1.142612,1.381446
fedprox_synthetic_iid,43,0.681076,0.662112,1.134071,1.37136
fedprox_synthetic_iid,44,0.682202,0.664596,1.128681,1.364864
fedprox_synthetic_iid,45,0.691495,0.669565,1.07663,1.3009
fedprox_synthetic_iid,46,0.691636,0.669565,1.073787,1.297631
fedprox_synthetic_iid,47,0.693326,0.668323,1.067752,1.290442
fedprox_synthetic_iid,48,0.695297,0.669565,1.059507,1.280574
fedprox_synthetic_iid,49,0.703182,0.677019,1.014027,1.224961
fedprox_synthetic_iid,50,0.712053,0.678261,0.975218,1.177152
fedprox_synthetic_iid,51,0.71332,0.680745,0.968667,1.169179
fedprox_synthetic_iid,52,0.713883,0.680745,0.967118,1.1672
fedprox_synthetic_iid,53,0.723036,0.685714,0.93044,1.121852
fedprox_synthetic_iid,54,0.724444,0.686957,0.924957,1.115157
fedprox_synthetic_iid,55,0.724866,0.686957,0.920656,1.109897
fedprox_synthetic_iid,56,0.725289,0.686957,0.917459,1.105778
fedprox_synthetic_iid,57,0.725289,0.688199,0.913209,1.100575
fedprox_synthetic_iid,58,0.731484,0.690683,0.879436,1.058839
fedprox_synthetic_iid,59,0.732188,0.693168,0.876418,1.055185
fedprox_synthetic_iid,60,0.738524,0.700621,0.843925,1.014738
fedprox_synthetic_iid,61,0.743875,0.70559,0.813613,0.976911
fedprox_synthetic_iid,62,0.74472,0.706832,0.809417,0.972133
fedprox_synthetic_iid,63,0.745846,0.708075,0.805002,0.96673
fedprox_synthetic_iid,64,0.752182,0.71677,0.778015,0.933282
fedprox_synthetic_iid,65,0.753027,0.71677,0.774506,0.928998
fedprox_synthetic_iid,66,0.754013,0.718012,0.772112,0.926144
fedprox_synthetic_iid,67,0.759504,0.721739,0.749756,0.898149
fedprox_synthetic_iid,68,0.766263,0.729193,0.725414,0.867698
fedprox_synthetic_iid,69,0.766826,0.730435,0.724041,0.865844
fedprox_synthetic_iid,70,0.769079,0.736646,0.704036,0.840553
fedprox_synthetic_iid,71,0.769783,0.736646,0.701324,0.837119
fedprox_synthetic_iid,72,0.774007,0.744099,0.683401,0.814451
fedprox_synthetic_iid,73,0.774007,0.745342,0.681815,0.812426
fedprox_synthetic_iid,74,0.774711,0.746584,0.680147,0.810461
fedprox_synthetic_iid,75,0.778654,0.750311,0.664602,0.79128
fedprox_synthetic_iid,76,0.782456,0.752795,0.64892,0.771853
fedprox_synthetic_iid,77,0.78668,0.757764,0.633733,0.753056
fedprox_synthetic_iid,78,0.787243,0.757764,0.6325,0.751433
fedprox_synthetic_iid,79,0.789918,0.762733,0.61814,0.733747
fedprox_synthetic_iid,80,0.794142,0.76646,0.603368,0.715162
fedprox_synthetic_iid,81,0.794565,0.767702,0.602344,0.713854
fedprox_synthetic_iid,82,0.795551,0.768944,0.601224,0.712511
fedprox_synthetic_iid,83,0.795832,0.768944,0.600062,0.71103
fedprox_synthetic_iid,84,0.796536,0.768944,0.598865,0.709656
fedprox_synthetic_iid,85,0.79724,0.768944,0.597555,0.708078
fedprox_synthetic_iid,86,0.797944,0.768944,0.596488,0.706702
fedprox_synthetic_iid,87,0.800338,0.773913,0.585243,0.693212
fedprox_synthetic_iid,88,0.800479,0.773913,0.584711,0.692561
fedprox_synthetic_iid,89,0.80062,0.775155,0.583277,0.690904
fedprox_synthetic_iid,90,0.80076,0.776398,0.582322,0.689723
fedprox_synthetic_iid,91,0.801324,0.775155,0.581767,0.68901
fedprox_synthetic_iid,92,0.801746,0.776398,0.580747,0.687691
fedprox_synthetic_iid,93,0.804844,0.776398,0.569924,0.673985
