dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_femnist,0,0.075696,0.077443,2.586563,2.567077
fedprox_femnist,1,0.113391,0.109667,2.436319,2.43256
fedprox_femnist,2,0.131965,0.119543,2.789087,2.793937
fedprox_femnist,3,0.155776,0.147089,2.565966,2.600935
fedprox_femnist,4,0.143475,0.14553,2.661016,2.696469
fedprox_femnist,5,0.180379,0.175156,2.455591,2.486088
fedprox_femnist,6,0.319773,0.31341,4.423227,4.546381
fedprox_femnist,7,0.22526,0.231289,2.403019,2.440719
fedprox_femnist,8,0.191828,0.18763,2.918819,2.939451
fedprox_femnist,9,0.131661,0.112786,2.712201,2.735706
fedprox_femnist,10,0.182571,0.173077,2.202996,2.208912
fedprox_femnist,11,0.333293,0.322765,2.00051,2.03231
fedprox_femnist,12,0.301991,0.277027,2.101665,2.123652
fedprox_femnist,13,0.324828,0.319127,2.022656,2.035154
fedprox_femnist,14,0.186408,0.186071,2.156236,2.150039
fedprox_femnist,15,0.252725,0.237006,2.172885,2.183755
fedprox_femnist,16,0.336338,0.331081,2.053331,2.069507
fedprox_femnist,17,0.343158,0.337318,1.962309,1.982935
fedprox_femnist,18,0.181597,0.185031,2.15744,2.155141
fedprox_femnist,19,0.290238,0.29158,2.035306,2.041782
fedprox_femnist,20,0.346629,0.350312,1.985391,1.988499
fedprox_femnist,21,0.155593,0.158004,2.461671,2.471585
fedprox_femnist,22,0.267706,0.254678,2.025595,2.037655
fedprox_femnist,23,0.200779,0.200624,2.118519,2.11899
fedprox_femnist,24,0.31344,0.300936,2.013439,2.031942
fedprox_femnist,25,0.386761,0.376819,1.86347,1.882519
fedprox_femnist,26,0.299312,0.279626,2.009964,2.033896
fedprox_femnist,27,0.351745,0.346674,1.940416,1.945068
fedprox_femnist,28,0.456062,0.43815,1.804436,1.832425
fedprox_femnist,29,0.3012,0.298337,1.881316,1.886145
fedprox_femnist,30,0.182388,0.176715,2.051546,2.055458
fedprox_femnist,31,0.47896,0.45738,1.779722,1.798552
fedprox_femnist,32,0.522502,0.512474,1.794377,1.799074
fedprox_femnist,33,0.470008,0.468815,1.783101,1.796834
fedprox_femnist,34,0.283722,0.277027,1.907529,1.914971
fedprox_femnist,35,0.541319,0.537942,1.725809,1.736874
fedprox_femnist,36,0.486511,0.472453,1.755763,1.775526
fedprox_femnist,37,0.430059,0.430353,1.777636,1.790161
fedprox_femnist,38,0.503441,0.490644,1.693797,1.71439
fedprox_femnist,39,0.452896,0.450624,1.804171,1.816476
fedprox_femnist,40,0.536265,0.534823,1.753549,1.758069
fedprox_femnist,41,0.261251,0.259875,1.95119,1.962483
fedprox_femnist,42,0.210036,0.218295,2.109727,2.123209
fedprox_femnist,43,0.411668,0.382017,1.808437,1.826612
fedprox_femnist,44,0.348456,0.349792,1.864739,1.877349
fedprox_femnist,45,0.559101,0.554574,1.656302,1.664191
fedprox_femnist,46,0.364716,0.37422,1.78996,1.792893
fedprox_femnist,47,0.229097,0.220374,2.235597,2.260016
fedprox_femnist,48,0.583826,0.590437,1.650176,1.66032
fedprox_femnist,49,0.426588,0.424636,1.712959,1.71862
fedprox_femnist,50,0.393886,0.379418,1.734677,1.742671
fedprox_femnist,51,0.457889,0.467256,1.701406,1.702362
fedprox_femnist,52,0.361001,0.369023,1.818003,1.819634
fedprox_femnist,53,0.281895,0.282744,2.015643,2.030445
fedprox_femnist,54,0.540893,0.529106,1.568895,1.586623
fedprox_femnist,55,0.378661,0.385135,1.728216,1.741758
fedprox_femnist,56,0.411181,0.408524,1.695285,1.706013
fedprox_femnist,57,0.331709,0.331081,1.90494,1.925558
fedprox_femnist,58,0.454053,0.465696,1.622994,1.632913
fedprox_femnist,59,0.60989,0.60343,1.516054,1.528408
fedprox_femnist,60,0.571281,0.560291,1.52038,1.53646
fedprox_femnist,61,0.420681,0.407484,1.674507,1.69261
fedprox_femnist,62,0.555143,0.544699,1.497479,1.510035
fedprox_femnist,63,0.546556,0.529106,1.534593,1.556268
fedprox_femnist,64,0.498021,0.488565,1.512227,1.521835
fedprox_femnist,65,0.531515,0.531705,1.51514,1.519436
fedprox_femnist,66,0.289629,0.29158,1.98021,1.979094
fedprox_femnist,67,0.403812,0.400728,1.580581,1.59152
fedprox_femnist,68,0.600207,0.605509,1.480117,1.4848
fedprox_femnist,69,0.396322,0.394491,1.656977,1.667489
fedprox_femnist,70,0.608794,0.599792,1.435438,1.451706
fedprox_femnist,71,0.462639,0.454782,1.510491,1.521788
fedprox_femnist,72,0.210888,0.211538,2.421637,2.418403
fedprox_femnist,73,0.496559,0.477651,1.456837,1.471235
fedprox_femnist,74,0.356008,0.349792,2.593125,2.683524
fedprox_femnist,75,0.525912,0.531185,1.495721,1.509039
fedprox_femnist,76,0.647464,0.653846,1.379477,1.382243
fedprox_femnist,77,0.571463,0.574844,1.418578,1.416568
fedprox_femnist,78,0.680957,0.691788,1.339084,1.344733
fedprox_femnist,79,0.660496,0.654366,1.318281,1.331736
fedprox_femnist,80,0.39078,0.373701,2.106936,2.173878
fedprox_femnist,81,0.710736,0.715177,1.271835,1.277739
fedprox_femnist,82,0.721759,0.72921,1.258212,1.262773
fedprox_femnist,83,0.534499,0.538981,1.416142,1.416455
fedprox_femnist,84,0.441508,0.444906,1.595357,1.599074
fedprox_femnist,85,0.730345,0.736486,1.24705,1.253145
fedprox_femnist,86,0.567383,0.550416,1.330354,1.351124
fedprox_femnist,87,0.444431,0.427235,1.589202,1.627295
fedprox_femnist,88,0.684368,0.683472,1.204774,1.20955
fedprox_femnist,89,0.663297,0.664241,1.184366,1.196364
fedprox_femnist,90,0.67639,0.673077,1.20655,1.209956
fedprox_femnist,91,0.704464,0.70894,1.186768,1.189168
fedprox_femnist,92,0.729066,0.735447,1.174203,1.178972
fedprox_femnist,93,0.725656,0.739085,1.191312,1.193284
fedprox_femnist,94,0.73205,0.740125,1.160917,1.166188
fedprox_femnist,95,0.726874,0.741164,1.180961,1.183222
fedprox_femnist,96,0.529931,0.514553,1.362638,1.389464
fedprox_femnist,97,0.728457,0.734407,1.12165,1.125493
fedprox_femnist,98,0.717861,0.72921,1.143295,1.144652
fedprox_femnist,99,0.684368,0.695426,1.175365,1.172118
fedprox_femnist,100,0.567627,0.560811,1.237093,1.260498
fedprox_femnist,101,0.705682,0.711538,1.125385,1.126384
fedprox_femnist,102,0.710675,0.715177,1.113723,1.11014
fedprox_femnist,103,0.734669,0.742723,1.0824,1.082017
fedprox_femnist,104,0.740393,0.74896,1.073943,1.080033
fedprox_femnist,105,0.719262,0.735967,1.110885,1.109964
fedprox_femnist,106,0.589733,0.584719,1.187949,1.208655
fedprox_femnist,107,0.741124,0.757277,1.055145,1.053314
fedprox_femnist,108,0.741002,0.75104,1.030926,1.03466
fedprox_femnist,109,0.713355,0.717256,1.060812,1.058158
fedprox_femnist,110,0.759089,0.77027,1.037041,1.03756
fedprox_femnist,111,0.739236,0.754678,1.058165,1.055301
fedprox_femnist,112,0.699653,0.70842,1.087614,1.084485
fedprox_femnist,113,0.725595,0.726091,1.056158,1.053768
fedprox_femnist,114,0.740941,0.744283,1.019424,1.025141
fedprox_femnist,115,0.67773,0.693867,1.090478,1.087453
fedprox_femnist,116,0.763291,0.776507,1.025044,1.02534
fedprox_femnist,117,0.748006,0.762474,1.040041,1.037368
fedprox_femnist,118,0.752451,0.761954,1.022189,1.020462
fedprox_femnist,119,0.745935,0.755717,1.021439,1.021188
fedprox_femnist,120,0.742038,0.75,1.016918,1.017122
fedprox_femnist,121,0.650691,0.643451,1.078918,1.084929
fedprox_femnist,122,0.75099,0.763514,1.009046,1.008016
fedprox_femnist,123,0.627672,0.622141,1.106925,1.122035
fedprox_femnist,124,0.711832,0.713098,1.017465,1.014847
fedprox_femnist,125,0.717374,0.731809,1.026608,1.020204
fedprox_femnist,126,0.705743,0.709979,1.038086,1.033447
fedprox_femnist,127,0.73674,0.742204,0.981156,0.983111
fedprox_femnist,128,0.751964,0.766632,0.978872,0.976697
fedprox_femnist,129,0.747092,0.758836,0.986528,0.987914
fedprox_femnist,130,0.728823,0.733368,1.001609,0.999016
fedprox_femnist,131,0.751842,0.764033,0.992216,0.991097
fedprox_femnist,132,0.770416,0.786383,0.969703,0.96721
fedprox_femnist,133,0.756349,0.768711,0.971709,0.969707
fedprox_femnist,134,0.760063,0.768191,0.95766,0.958528
fedprox_femnist,135,0.743499,0.754158,0.970562,0.969599
fedprox_femnist,136,0.750929,0.765073,0.988952,0.984844
fedprox_femnist,137,0.735461,0.745322,0.977333,0.977003
fedprox_femnist,138,0.763595,0.774428,0.958275,0.956532
fedprox_femnist,139,0.719506,0.727651,1.019781,1.017992
fedprox_femnist,140,0.764935,0.781705,0.958379,0.955396
fedprox_femnist,141,0.754704,0.766632,0.976565,0.971491
fedprox_femnist,142,0.753121,0.764553,0.961441,0.957054
fedprox_femnist,143,0.760307,0.77131,0.964667,0.962772
fedprox_femnist,144,0.73881,0.744283,0.985462,0.979555
fedprox_femnist,145,0.755313,0.765593,0.953007,0.952555
fedprox_femnist,146,0.708483,0.727131,1.014216,1.010257
fedprox_femnist,147,0.746422,0.751559,0.980414,0.974453
fedprox_femnist,148,0.753486,0.767152,0.943793,0.940809
fedprox_femnist,149,0.68522,0.702183,1.026936,1.020697
fedprox_femnist,150,0.739602,0.742723,0.953749,0.950118
fedprox_femnist,151,0.765727,0.777027,0.944124,0.939781
fedprox_femnist,152,0.751294,0.769231,0.970464,0.966466
fedprox_femnist,153,0.71573,0.726091,1.001149,0.990816
fedprox_femnist,154,0.763534,0.777027,0.941022,0.939355
fedprox_femnist,155,0.738993,0.740644,0.949995,0.947569
fedprox_femnist,156,0.762317,0.775988,0.948361,0.943903
fedprox_femnist,157,0.775653,0.79106,0.932296,0.92889
fedprox_femnist,158,0.758784,0.773909,0.934714,0.93066
fedprox_femnist,159,0.771756,0.787422,0.928255,0.92316
fedprox_femnist,160,0.752451,0.760915,0.929123,0.925718
fedprox_femnist,161,0.74965,0.761435,0.948997,0.940614
fedprox_femnist,162,0.745143,0.758316,0.965177,0.958892
