dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_0.5_0.5,0,0.43137,0.446272,1.636852,1.651903
fedprox_synthetic_0.5_0.5,1,0.424303,0.419956,2.438729,2.472948
fedprox_synthetic_0.5_0.5,2,0.427526,0.422149,2.378216,2.410875
fedprox_synthetic_0.5_0.5,3,0.43385,0.446272,1.91215,1.950645
fedprox_synthetic_0.5_0.5,4,0.416987,0.419956,1.842514,1.88722
fedprox_synthetic_0.5_0.5,5,0.443893,0.444079,1.720486,1.766323
fedprox_synthetic_0.5_0.5,6,0.447365,0.432018,1.675715,1.725921
fedprox_synthetic_0.5_0.5,7,0.425542,0.399123,1.650606,1.704019
fedprox_synthetic_0.5_0.5,8,0.381153,0.351974,1.656489,1.711812
fedprox_synthetic_0.5_0.5,9,0.351519,0.33114,1.646789,1.70408
fedprox_synthetic_0.5_0.5,10,0.735276,0.737939,0.90486,0.974053
fedprox_synthetic_0.5_0.5,11,0.734036,0.736842,0.912815,0.981247
fedprox_synthetic_0.5_0.5,12,0.733788,0.746711,0.920672,0.985859
fedprox_synthetic_0.5_0.5,13,0.735152,0.740132,0.936286,0.99058
fedprox_synthetic_0.5_0.5,14,0.734656,0.741228,0.979348,1.02519
fedprox_synthetic_0.5_0.5,15,0.723993,0.733553,0.917117,0.989003
fedprox_synthetic_0.5_0.5,16,0.720273,0.723684,1.020608,1.112056
fedprox_synthetic_0.5_0.5,17,0.720521,0.723684,0.990774,1.045755
fedprox_synthetic_0.5_0.5,18,0.708865,0.721491,0.990339,1.048066
fedprox_synthetic_0.5_0.5,19,0.708369,0.722588,0.982251,1.039012
fedprox_synthetic_0.5_0.5,20,0.708122,0.723684,0.968056,1.023814
fedprox_synthetic_0.5_0.5,21,0.709361,0.724781,0.946178,0.996565
fedprox_synthetic_0.5_0.5,22,0.69845,0.701754,0.949455,1.0031
fedprox_synthetic_0.5_0.5,23,0.689771,0.694079,0.940222,0.992919
fedprox_synthetic_0.5_0.5,24,0.687167,0.679825,0.94196,0.994736
fedprox_synthetic_0.5_0.5,25,0.718413,0.73136,0.859292,0.881819
fedprox_synthetic_0.5_0.5,26,0.716429,0.730263,0.881411,0.905029
fedprox_synthetic_0.5_0.5,27,0.719157,0.732456,0.889399,0.910124
fedprox_synthetic_0.5_0.5,28,0.718289,0.736842,0.905022,0.923248
fedprox_synthetic_0.5_0.5,29,0.722257,0.744518,1.026158,1.005832
fedprox_synthetic_0.5_0.5,30,0.722877,0.741228,0.990592,0.967646
fedprox_synthetic_0.5_0.5,31,0.724737,0.744518,0.965045,0.941724
fedprox_synthetic_0.5_0.5,32,0.727216,0.747807,0.880651,0.851503
fedprox_synthetic_0.5_0.5,33,0.727092,0.746711,0.88097,0.85217
fedprox_synthetic_0.5_0.5,34,0.702542,0.725877,1.083598,1.060668
fedprox_synthetic_0.5_0.5,35,0.671792,0.699561,1.381655,1.371813
fedprox_synthetic_0.5_0.5,36,0.665592,0.6875,1.378788,1.376884
fedprox_synthetic_0.5_0.5,37,0.69349,0.708333,1.346652,1.402433
fedprox_synthetic_0.5_0.5,38,0.699442,0.708333,1.285581,1.339892
fedprox_synthetic_0.5_0.5,39,0.713081,0.725877,1.230131,1.278744
fedprox_synthetic_0.5_0.5,40,0.731184,0.741228,1.197292,1.240766
fedprox_synthetic_0.5_0.5,41,0.737508,0.744518,1.211025,1.249591
fedprox_synthetic_0.5_0.5,42,0.737632,0.745614,1.234951,1.270338
fedprox_synthetic_0.5_0.5,43,0.733788,0.739035,1.262737,1.297214
fedprox_synthetic_0.5_0.5,44,0.66646,0.66557,1.395175,1.425369
fedprox_synthetic_0.5_0.5,45,0.581649,0.580044,1.498639,1.526376
fedprox_synthetic_0.5_0.5,46,0.446001,0.442982,1.719777,1.743727
fedprox_synthetic_0.5_0.5,47,0.39752,0.399123,1.891254,1.912365
fedprox_synthetic_0.5_0.5,48,0.753999,0.766447,0.88406,0.910375
fedprox_synthetic_0.5_0.5,49,0.720149,0.735746,1.059265,1.083804
fedprox_synthetic_0.5_0.5,50,0.717793,0.73136,1.062968,1.091852
fedprox_synthetic_0.5_0.5,51,0.72548,0.75,1.189069,1.217054
fedprox_synthetic_0.5_0.5,52,0.726224,0.75,1.167039,1.191805
fedprox_synthetic_0.5_0.5,53,0.728828,0.751096,1.148074,1.168577
fedprox_synthetic_0.5_0.5,54,0.743583,0.751096,0.997744,1.055011
fedprox_synthetic_0.5_0.5,55,0.7416,0.75,0.980757,1.037313
fedprox_synthetic_0.5_0.5,56,0.74098,0.748904,0.962781,1.01684
fedprox_synthetic_0.5_0.5,57,0.740608,0.746711,0.948316,1.000301
fedprox_synthetic_0.5_0.5,58,0.741476,0.746711,0.935233,0.985431
fedprox_synthetic_0.5_0.5,59,0.725108,0.733553,0.854846,0.951871
fedprox_synthetic_0.5_0.5,60,0.722009,0.726974,0.867735,0.964021
fedprox_synthetic_0.5_0.5,61,0.716429,0.719298,0.876417,0.973282
fedprox_synthetic_0.5_0.5,62,0.661872,0.682018,1.137527,1.228934
fedprox_synthetic_0.5_0.5,63,0.662616,0.676535,1.116957,1.207523
fedprox_synthetic_0.5_0.5,64,0.664724,0.678728,1.102861,1.191439
fedprox_synthetic_0.5_0.5,65,0.6708,0.679825,1.080546,1.16695
fedprox_synthetic_0.5_0.5,66,0.67142,0.678728,1.063736,1.147362
fedprox_synthetic_0.5_0.5,67,0.69287,0.699561,0.945491,1.022319
fedprox_synthetic_0.5_0.5,68,0.72734,0.730263,0.848348,0.881247
fedprox_synthetic_0.5_0.5,69,0.72796,0.73136,0.82377,0.856868
fedprox_synthetic_0.5_0.5,70,0.728704,0.732456,0.823324,0.855625
fedprox_synthetic_0.5_0.5,71,0.729076,0.73136,0.812323,0.845173
fedprox_synthetic_0.5_0.5,72,0.72796,0.746711,0.875247,0.89136
fedprox_synthetic_0.5_0.5,73,0.725728,0.744518,1.016688,1.013369
fedprox_synthetic_0.5_0.5,74,0.727092,0.743421,1.009216,1.004071
fedprox_synthetic_0.5_0.5,75,0.729572,0.743421,0.979784,0.977159
fedprox_synthetic_0.5_0.5,76,0.732052,0.747807,0.959159,0.959123
fedprox_synthetic_0.5_0.5,77,0.734656,0.753289,0.943621,0.945765
fedprox_synthetic_0.5_0.5,78,0.745071,0.752193,0.845327,0.860703
fedprox_synthetic_0.5_0.5,79,0.743831,0.756579,0.821755,0.835845
fedprox_synthetic_0.5_0.5,80,0.741847,0.748904,0.870395,0.893577
fedprox_synthetic_0.5_0.5,81,0.72982,0.737939,1.022792,1.057945
fedprox_synthetic_0.5_0.5,82,0.73168,0.742325,0.999664,1.040576
fedprox_synthetic_0.5_0.5,83,0.748543,0.757675,0.943455,1.042034
fedprox_synthetic_0.5_0.5,84,0.742963,0.753289,1.005418,1.139277
fedprox_synthetic_0.5_0.5,85,0.724737,0.734649,1.099183,1.263103
fedprox_synthetic_0.5_0.5,86,0.725604,0.734649,1.075312,1.23905
fedprox_synthetic_0.5_0.5,87,0.724985,0.732456,1.043734,1.200018
fedprox_synthetic_0.5_0.5,88,0.717917,0.718202,0.979559,1.098905
fedprox_synthetic_0.5_0.5,89,0.717793,0.730263,0.982904,1.090718
fedprox_synthetic_0.5_0.5,90,0.719033,0.725877,0.972057,1.070082
fedprox_synthetic_0.5_0.5,91,0.733044,0.747807,0.83515,0.925559
fedprox_synthetic_0.5_0.5,92,0.732424,0.743421,0.829998,0.916835
fedprox_synthetic_0.5_0.5,93,0.7385,0.753289,0.812201,0.896298
fedprox_synthetic_0.5_0.5,94,0.724737,0.735746,0.846101,0.878184
fedprox_synthetic_0.5_0.5,95,0.701426,0.725877,1.10126,1.086025
fedprox_synthetic_0.5_0.5,96,0.698822,0.72807,1.088396,1.074599
fedprox_synthetic_0.5_0.5,97,0.704402,0.72807,1.20369,1.159375
fedprox_synthetic_0.5_0.5,98,0.705518,0.732456,1.180596,1.137023
fedprox_synthetic_0.5_0.5,99,0.710353,0.735746,1.13861,1.097254
fedprox_synthetic_0.5_0.5,100,0.731184,0.752193,0.863147,0.863842
fedprox_synthetic_0.5_0.5,101,0.731432,0.747807,0.85765,0.86435
fedprox_synthetic_0.5_0.5,102,0.732672,0.748904,0.861467,0.87576
fedprox_synthetic_0.5_0.5,103,0.730812,0.743421,0.872999,0.894857
fedprox_synthetic_0.5_0.5,104,0.729448,0.737939,0.892975,0.921686
fedprox_synthetic_0.5_0.5,105,0.731556,0.740132,0.90618,0.938839
fedprox_synthetic_0.5_0.5,106,0.730564,0.739035,0.897207,0.932593
fedprox_synthetic_0.5_0.5,107,0.749535,0.753289,0.716995,0.753871
fedprox_synthetic_0.5_0.5,108,0.746063,0.754386,0.716973,0.755676
fedprox_synthetic_0.5_0.5,109,0.747055,0.755482,0.715431,0.752497
fedprox_synthetic_0.5_0.5,110,0.748419,0.757675,0.708658,0.744124
fedprox_synthetic_0.5_0.5,111,0.749907,0.758772,0.692594,0.725671
fedprox_synthetic_0.5_0.5,112,0.752263,0.751096,0.688867,0.720633
fedprox_synthetic_0.5_0.5,113,0.749783,0.755482,0.688674,0.718666
fedprox_synthetic_0.5_0.5,114,0.749659,0.752193,0.69094,0.721365
fedprox_synthetic_0.5_0.5,115,0.746311,0.746711,0.784111,0.822036
fedprox_synthetic_0.5_0.5,116,0.746435,0.744518,0.766114,0.806589
fedprox_synthetic_0.5_0.5,117,0.746931,0.748904,0.745648,0.789293
fedprox_synthetic_0.5_0.5,118,0.740856,0.745614,0.734958,0.780062
fedprox_synthetic_0.5_0.5,119,0.728952,0.717105,0.724986,0.773648
fedprox_synthetic_0.5_0.5,120,0.746311,0.757675,0.733808,0.755606
fedprox_synthetic_0.5_0.5,121,0.745567,0.756579,0.729298,0.752332
fedprox_synthetic_0.5_0.5,122,0.747055,0.757675,0.730913,0.755941
fedprox_synthetic_0.5_0.5,123,0.748791,0.755482,0.692981,0.720855
fedprox_synthetic_0.5_0.5,124,0.751519,0.756579,0.676756,0.705597
fedprox_synthetic_0.5_0.5,125,0.753379,0.760965,0.6722,0.700754
fedprox_synthetic_0.5_0.5,126,0.750279,0.753289,0.660415,0.704593
fedprox_synthetic_0.5_0.5,127,0.748419,0.759868,0.671665,0.71617
fedprox_synthetic_0.5_0.5,128,0.746063,0.760965,0.683149,0.727696
fedprox_synthetic_0.5_0.5,129,0.73726,0.746711,0.787798,0.860051
fedprox_synthetic_0.5_0.5,130,0.73726,0.744518,0.799267,0.872462
fedprox_synthetic_0.5_0.5,131,0.738996,0.752193,0.79547,0.864053
fedprox_synthetic_0.5_0.5,132,0.739368,0.754386,0.788212,0.853321
fedprox_synthetic_0.5_0.5,133,0.739988,0.754386,0.774961,0.836517
fedprox_synthetic_0.5_0.5,134,0.735772,0.747807,0.727419,0.753553
