dataset,,,round,train_loss,train_accuracy,test_accuracy,test_loss
fedprox_synthetic_0_0,,,0,2.357474,0.135882,0.147157,2.34798
fedprox_synthetic_0_0,,,1,1.733718,0.363235,0.361204,1.719828
fedprox_synthetic_0_0,,,2,1.346655,0.609765,0.61427,1.329396
fedprox_synthetic_0_0,,,3,1.318684,0.618092,0.615385,1.302593
fedprox_synthetic_0_0,,,4,1.168161,0.674489,0.682274,1.147816
fedprox_synthetic_0_0,,,5,1.087507,0.677012,0.685619,1.064421
fedprox_synthetic_0_0,,,6,1.022273,0.702372,0.712375,0.99448
fedprox_synthetic_0_0,,,7,0.989392,0.704769,0.712375,0.959574
fedprox_synthetic_0_0,,,8,0.940026,0.703003,0.71126,0.906397
fedprox_synthetic_0_0,,,9,0.908758,0.715998,0.722408,0.873013
fedprox_synthetic_0_0,,,10,0.859514,0.759778,0.769231,0.822075
fedprox_synthetic_0_0,,,11,0.842162,0.765582,0.774805,0.802128
fedprox_synthetic_0_0,,,12,0.829023,0.766969,0.778149,0.78828
fedprox_synthetic_0_0,,,13,0.758014,0.766591,0.77369,0.717175
fedprox_synthetic_0_0,,,14,0.713821,0.765203,0.772575,0.674172
fedprox_synthetic_0_0,,,15,0.68693,0.774918,0.780379,0.647883
fedprox_synthetic_0_0,,,16,0.668764,0.777189,0.785953,0.631726
fedprox_synthetic_0_0,,,17,0.661306,0.77782,0.789298,0.627973
fedprox_synthetic_0_0,,,18,0.667206,0.772899,0.789298,0.63696
fedprox_synthetic_0_0,,,19,0.669804,0.773278,0.787068,0.638602
fedprox_synthetic_0_0,,,20,0.657788,0.775296,0.784838,0.626403
fedprox_synthetic_0_0,,,21,0.649028,0.773909,0.781494,0.616216
fedprox_synthetic_0_0,,,22,0.637505,0.776053,0.783724,0.604879
fedprox_synthetic_0_0,,,23,0.628585,0.776053,0.789298,0.594992
fedprox_synthetic_0_0,,,24,0.623264,0.775549,0.791527,0.59057
fedprox_synthetic_0_0,,,25,0.613821,0.776432,0.790412,0.58186
fedprox_synthetic_0_0,,,26,0.59851,0.780091,0.789298,0.565419
fedprox_synthetic_0_0,,,27,0.592322,0.783119,0.791527,0.559625
fedprox_synthetic_0_0,,,28,0.586931,0.785264,0.791527,0.553428
fedprox_synthetic_0_0,,,29,0.58379,0.788166,0.795987,0.551068
fedprox_synthetic_0_0,,,30,0.579538,0.792203,0.799331,0.54817
fedprox_synthetic_0_0,,,31,0.57812,0.79296,0.797101,0.546637
fedprox_synthetic_0_0,,,32,0.577115,0.792329,0.794872,0.546189
fedprox_synthetic_0_0,,,33,0.576131,0.791067,0.794872,0.545615
fedprox_synthetic_0_0,,,34,0.572183,0.793086,0.797101,0.543688
fedprox_synthetic_0_0,,,35,0.570261,0.793969,0.799331,0.541024
fedprox_synthetic_0_0,,,36,0.56825,0.794726,0.799331,0.538829
fedprox_synthetic_0_0,,,37,0.566231,0.795483,0.798216,0.536889
fedprox_synthetic_0_0,,,38,0.563384,0.793591,0.804905,0.534424
fedprox_synthetic_0_0,,,39,0.562721,0.794222,0.80825,0.534701
fedprox_synthetic_0_0,,,40,0.563973,0.793717,0.807135,0.536858
fedprox_synthetic_0_0,,,41,0.564822,0.79296,0.807135,0.538363
fedprox_synthetic_0_0,,,42,0.561578,0.793212,0.80379,0.535078
fedprox_synthetic_0_0,,,43,0.557768,0.793465,0.802676,0.5299
fedprox_synthetic_0_0,,,44,0.555258,0.79296,0.804905,0.526015
fedprox_synthetic_0_0,,,45,0.55226,0.793843,0.807135,0.522609
fedprox_synthetic_0_0,,,46,0.550334,0.793086,0.80379,0.521177
fedprox_synthetic_0_0,,,47,0.548783,0.792077,0.799331,0.520052
fedprox_synthetic_0_0,,,48,0.54922,0.790184,0.795987,0.521
fedprox_synthetic_0_0,,,49,0.547941,0.793338,0.800446,0.519976
fedprox_synthetic_0_0,,,50,0.547315,0.793843,0.801561,0.519642
fedprox_synthetic_0_0,,,51,0.545802,0.795105,0.80379,0.518986
fedprox_synthetic_0_0,,,52,0.544865,0.796366,0.80379,0.5185
fedprox_synthetic_0_0,,,53,0.54326,0.795609,0.802676,0.514499
fedprox_synthetic_0_0,,,54,0.541374,0.79788,0.804905,0.513137
fedprox_synthetic_0_0,,,55,0.540012,0.79624,0.810479,0.51309
fedprox_synthetic_0_0,,,56,0.539169,0.796997,0.812709,0.513317
fedprox_synthetic_0_0,,,57,0.538887,0.79725,0.812709,0.513215
fedprox_synthetic_0_0,,,58,0.538054,0.797754,0.813824,0.511885
fedprox_synthetic_0_0,,,59,0.537578,0.797376,0.813824,0.511511
fedprox_synthetic_0_0,,,60,0.536764,0.798637,0.811594,0.510993
fedprox_synthetic_0_0,,,61,0.536431,0.798385,0.80602,0.511371
fedprox_synthetic_0_0,,,62,0.53565,0.797376,0.80825,0.511537
fedprox_synthetic_0_0,,,63,0.535257,0.797628,0.807135,0.511383
fedprox_synthetic_0_0,,,64,0.534567,0.799268,0.807135,0.511055
fedprox_synthetic_0_0,,,65,0.53502,0.799773,0.80602,0.512425
fedprox_synthetic_0_0,,,66,0.535074,0.800025,0.807135,0.513266
fedprox_synthetic_0_0,,,67,0.534801,0.798764,0.80825,0.51319
fedprox_synthetic_0_0,,,68,0.533913,0.799142,0.807135,0.512223
fedprox_synthetic_0_0,,,69,0.532256,0.798764,0.804905,0.510223
fedprox_synthetic_0_0,,,70,0.530587,0.797754,0.802676,0.507688
fedprox_synthetic_0_0,,,71,0.529904,0.798637,0.799331,0.506468
fedprox_synthetic_0_0,,,72,0.529026,0.799394,0.801561,0.505178
fedprox_synthetic_0_0,,,73,0.52887,0.799394,0.801561,0.504947
fedprox_synthetic_0_0,,,74,0.528263,0.799016,0.802676,0.503547
fedprox_synthetic_0_0,,,75,0.527837,0.797628,0.802676,0.502419
fedprox_synthetic_0_0,,,76,0.52824,0.798511,0.802676,0.502134
fedprox_synthetic_0_0,,,77,0.527946,0.797628,0.802676,0.501028
fedprox_synthetic_0_0,,,78,0.526675,0.798511,0.80602,0.500067
fedprox_synthetic_0_0,,,79,0.525711,0.798385,0.80602,0.498982
fedprox_synthetic_0_0,,,80,0.524145,0.800278,0.80602,0.498265
fedprox_synthetic_0_0,,,81,0.522956,0.800404,0.807135,0.497816
fedprox_synthetic_0_0,,,82,0.523283,0.800782,0.80602,0.498926
fedprox_synthetic_0_0,,,83,0.522936,0.800151,0.807135,0.499517
fedprox_synthetic_0_0,,,84,0.522883,0.799773,0.80602,0.499808
fedprox_synthetic_0_0,,,85,0.522635,0.799773,0.80602,0.499775
fedprox_synthetic_0_0,,,86,0.522,0.799773,0.807135,0.499014
fedprox_synthetic_0_0,,,87,0.52165,0.799773,0.80825,0.498416
fedprox_synthetic_0_0,,,88,0.521134,0.799899,0.80825,0.497549
fedprox_synthetic_0_0,,,89,0.521064,0.799394,0.807135,0.497087
fedprox_synthetic_0_0,,,90,0.520717,0.79889,0.80825,0.496478
fedprox_synthetic_0_0,,,91,0.520641,0.799647,0.810479,0.495821
fedprox_synthetic_0_0,,,92,0.520325,0.799394,0.813824,0.495374
fedprox_synthetic_0_0,,,93,0.520127,0.799521,0.811594,0.494952
fedprox_synthetic_0_0,,,94,0.51987,0.79889,0.810479,0.494702
fedprox_synthetic_0_0,,,95,0.519564,0.799142,0.810479,0.4944
fedprox_synthetic_0_0,,,96,0.519382,0.799268,0.810479,0.494207
fedprox_synthetic_0_0,,,97,0.519429,0.798764,0.812709,0.494402
fedprox_synthetic_0_0,,,98,0.519107,0.799016,0.812709,0.494413
fedprox_synthetic_0_0,,,99,0.517616,0.798764,0.807135,0.4943
fedprox_synthetic_0_0,,,100,0.51701,0.799268,0.810479,0.494352
fedprox_synthetic_0_0,,,101,0.516393,0.799899,0.804905,0.495261
fedprox_synthetic_0_0,,,102,0.516299,0.800908,0.80379,0.495867
fedprox_synthetic_0_0,,,103,0.516275,0.800656,0.80379,0.495904
fedprox_synthetic_0_0,,,104,0.516973,0.800656,0.80602,0.498112
fedprox_synthetic_0_0,,,105,0.51862,0.801035,0.807135,0.501166
fedprox_synthetic_0_0,,,106,0.518359,0.800908,0.80602,0.500981
fedprox_synthetic_0_0,,,107,0.517728,0.800656,0.807135,0.500215
fedprox_synthetic_0_0,,,108,0.516514,0.800404,0.807135,0.49816
fedprox_synthetic_0_0,,,109,0.514404,0.801665,0.80825,0.493737
fedprox_synthetic_0_0,,,110,0.514862,0.801161,0.811594,0.49209
fedprox_synthetic_0_0,,,111,0.515208,0.800656,0.811594,0.492071
fedprox_synthetic_0_0,,,112,0.515813,0.802927,0.811594,0.491948
fedprox_synthetic_0_0,,,113,0.516565,0.802044,0.812709,0.49182
fedprox_synthetic_0_0,,,114,0.517864,0.801413,0.813824,0.492366
fedprox_synthetic_0_0,,,115,0.518738,0.800908,0.813824,0.492462
fedprox_synthetic_0_0,,,116,0.516832,0.800782,0.816054,0.491374
fedprox_synthetic_0_0,,,117,0.512926,0.801161,0.813824,0.48992
fedprox_synthetic_0_0,,,118,0.512074,0.802296,0.809365,0.492033
fedprox_synthetic_0_0,,,119,0.51557,0.801792,0.809365,0.499379
fedprox_synthetic_0_0,,,120,0.5173,0.802801,0.809365,0.502123
fedprox_synthetic_0_0,,,121,0.522559,0.80217,0.80825,0.509799
fedprox_synthetic_0_0,,,122,0.525315,0.801792,0.810479,0.513412
fedprox_synthetic_0_0,,,123,0.528384,0.801918,0.810479,0.517598
fedprox_synthetic_0_0,,,124,0.530378,0.80217,0.810479,0.520307
fedprox_synthetic_0_0,,,125,0.528867,0.802422,0.809365,0.517948
fedprox_synthetic_0_0,,,126,0.521476,0.803432,0.807135,0.507763
fedprox_synthetic_0_0,,,127,0.515697,0.803936,0.809365,0.499317
fedprox_synthetic_0_0,,,128,0.512195,0.804441,0.809365,0.493174
fedprox_synthetic_0_0,,,129,0.511467,0.804315,0.809365,0.492351
fedprox_synthetic_0_0,,,130,0.510838,0.805072,0.810479,0.491726
fedprox_synthetic_0_0,,,131,0.510191,0.804946,0.80825,0.488283
fedprox_synthetic_0_0,,,132,0.509851,0.804063,0.807135,0.487952
fedprox_synthetic_0_0,,,133,0.511324,0.803179,0.811594,0.487631
fedprox_synthetic_0_0,,,134,0.514241,0.803179,0.811594,0.488922
fedprox_synthetic_0_0,,,135,0.516094,0.802801,0.813824,0.489993
fedprox_synthetic_0_0,,,136,0.521893,0.803306,0.812709,0.493584
fedprox_synthetic_0_0,,,137,0.520577,0.803432,0.811594,0.492413
fedprox_synthetic_0_0,,,138,0.518254,0.801539,0.812709,0.490982
fedprox_synthetic_0_0,,,139,0.51622,0.802422,0.812709,0.489774
fedprox_synthetic_0_0,,,140,0.513605,0.803179,0.812709,0.488707
fedprox_synthetic_0_0,,,141,0.510768,0.802422,0.813824,0.487608
fedprox_synthetic_0_0,,,142,0.508979,0.802549,0.812709,0.487138
fedprox_synthetic_0_0,,,143,0.508056,0.802801,0.810479,0.487838
