dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_1_1,0,0.107917,0.112546,3.834957,3.727214
fedprox_synthetic_1_1,1,0.120625,0.124539,4.022123,3.904099
fedprox_synthetic_1_1,2,0.130729,0.138376,3.844452,3.752453
fedprox_synthetic_1_1,3,0.136354,0.137454,3.669983,3.58456
fedprox_synthetic_1_1,4,0.477083,0.489852,2.904071,2.947172
fedprox_synthetic_1_1,5,0.426563,0.452952,2.452134,2.485481
fedprox_synthetic_1_1,6,0.617292,0.598708,1.508967,1.654899
fedprox_synthetic_1_1,7,0.600521,0.596863,1.449342,1.585615
fedprox_synthetic_1_1,8,0.541979,0.555351,1.426159,1.540531
fedprox_synthetic_1_1,9,0.617812,0.592251,2.333811,2.537698
fedprox_synthetic_1_1,10,0.530208,0.537823,2.098645,2.309097
fedprox_synthetic_1_1,11,0.625,0.595018,1.95317,2.218581
fedprox_synthetic_1_1,12,0.643646,0.630074,1.497004,1.736012
fedprox_synthetic_1_1,13,0.617812,0.595941,1.477578,1.706649
fedprox_synthetic_1_1,14,0.639375,0.601476,1.376239,1.611239
fedprox_synthetic_1_1,15,0.629687,0.583026,1.357543,1.601181
fedprox_synthetic_1_1,16,0.647188,0.622694,1.300881,1.523463
fedprox_synthetic_1_1,17,0.644896,0.599631,1.298568,1.531656
fedprox_synthetic_1_1,18,0.647813,0.622694,1.662597,1.915787
fedprox_synthetic_1_1,19,0.648021,0.607934,1.607814,1.878791
fedprox_synthetic_1_1,20,0.575208,0.555351,1.613403,1.854593
fedprox_synthetic_1_1,21,0.663229,0.646679,1.359593,1.572996
fedprox_synthetic_1_1,22,0.662917,0.643911,1.298209,1.508658
fedprox_synthetic_1_1,23,0.666042,0.611624,1.247935,1.464275
fedprox_synthetic_1_1,24,0.682708,0.642066,1.322599,1.565659
fedprox_synthetic_1_1,25,0.639062,0.582103,2.604234,2.931071
fedprox_synthetic_1_1,26,0.549479,0.524908,2.483396,2.812319
fedprox_synthetic_1_1,27,0.550937,0.520295,2.380759,2.696598
fedprox_synthetic_1_1,28,0.550417,0.520295,2.303776,2.620432
fedprox_synthetic_1_1,29,0.659792,0.633764,1.322685,1.426952
fedprox_synthetic_1_1,30,0.635521,0.605166,1.264022,1.380536
fedprox_synthetic_1_1,31,0.63,0.601476,1.294308,1.35859
fedprox_synthetic_1_1,32,0.557813,0.54428,2.386899,2.464816
fedprox_synthetic_1_1,33,0.535,0.535978,2.21945,2.272134
fedprox_synthetic_1_1,34,0.544063,0.552583,2.069422,2.130318
fedprox_synthetic_1_1,35,0.574375,0.577491,1.854042,1.926026
fedprox_synthetic_1_1,36,0.577917,0.584871,1.658541,1.730778
fedprox_synthetic_1_1,37,0.620313,0.614391,1.22594,1.407589
fedprox_synthetic_1_1,38,0.6275,0.623616,1.160688,1.344519
fedprox_synthetic_1_1,39,0.644167,0.619004,1.346567,1.599575
fedprox_synthetic_1_1,40,0.6025,0.560886,1.383625,1.65023
fedprox_synthetic_1_1,41,0.603229,0.572878,1.92857,2.133534
fedprox_synthetic_1_1,42,0.592604,0.563653,1.767059,1.979549
fedprox_synthetic_1_1,43,0.585208,0.556273,1.707921,1.919399
fedprox_synthetic_1_1,44,0.579688,0.545203,1.72071,1.930357
fedprox_synthetic_1_1,45,0.613854,0.594096,1.733558,1.829512
fedprox_synthetic_1_1,46,0.61,0.589483,1.741935,1.839546
fedprox_synthetic_1_1,47,0.63,0.628229,2.093013,2.102317
fedprox_synthetic_1_1,48,0.587812,0.583948,2.008894,2.007598
fedprox_synthetic_1_1,49,0.643229,0.654982,1.787691,1.81876
fedprox_synthetic_1_1,50,0.654896,0.658672,1.744131,1.772884
fedprox_synthetic_1_1,51,0.660833,0.667897,1.695427,1.723412
fedprox_synthetic_1_1,52,0.655625,0.650369,1.705737,1.724926
fedprox_synthetic_1_1,53,0.6475,0.639299,1.701905,1.717123
fedprox_synthetic_1_1,54,0.675,0.657749,1.40286,1.489074
fedprox_synthetic_1_1,55,0.667292,0.664207,1.31931,1.421857
fedprox_synthetic_1_1,56,0.67625,0.648524,1.103669,1.254914
fedprox_synthetic_1_1,57,0.675729,0.644834,1.093445,1.243135
fedprox_synthetic_1_1,58,0.676562,0.656827,1.074596,1.216583
fedprox_synthetic_1_1,59,0.675417,0.661439,1.062457,1.200628
fedprox_synthetic_1_1,60,0.675,0.661439,1.060177,1.1978
fedprox_synthetic_1_1,61,0.672917,0.664207,1.048896,1.185583
fedprox_synthetic_1_1,62,0.667917,0.658672,1.021152,1.157106
fedprox_synthetic_1_1,63,0.647396,0.641144,0.906963,1.056218
fedprox_synthetic_1_1,64,0.643542,0.634686,0.90329,1.044087
fedprox_synthetic_1_1,65,0.647604,0.639299,0.871764,1.008559
fedprox_synthetic_1_1,66,0.644062,0.630074,0.874952,0.999135
fedprox_synthetic_1_1,67,0.652708,0.640221,0.837319,0.96733
fedprox_synthetic_1_1,68,0.644792,0.636531,0.93339,0.998762
fedprox_synthetic_1_1,69,0.640104,0.633764,0.924475,0.988548
fedprox_synthetic_1_1,70,0.646979,0.637454,0.994592,1.042282
fedprox_synthetic_1_1,71,0.627812,0.619926,1.134359,1.178749
fedprox_synthetic_1_1,72,0.625417,0.616236,1.132408,1.175763
fedprox_synthetic_1_1,73,0.630625,0.624539,1.114091,1.166451
fedprox_synthetic_1_1,74,0.630729,0.626384,1.114086,1.165922
fedprox_synthetic_1_1,75,0.619896,0.605166,1.106773,1.170778
fedprox_synthetic_1_1,76,0.620417,0.605166,1.083086,1.150366
fedprox_synthetic_1_1,77,0.64,0.617159,1.140916,1.218556
fedprox_synthetic_1_1,78,0.631875,0.610701,1.418322,1.540238
fedprox_synthetic_1_1,79,0.646042,0.626384,1.383208,1.507282
fedprox_synthetic_1_1,80,0.660729,0.631919,1.450934,1.561051
fedprox_synthetic_1_1,81,0.666562,0.631919,1.367843,1.479945
fedprox_synthetic_1_1,82,0.666354,0.633764,1.310798,1.417137
fedprox_synthetic_1_1,83,0.600417,0.586716,1.369198,1.449473
fedprox_synthetic_1_1,84,0.57375,0.560886,1.43232,1.499736
fedprox_synthetic_1_1,85,0.678854,0.654059,1.062411,1.156614
fedprox_synthetic_1_1,86,0.679688,0.645756,1.051443,1.148859
fedprox_synthetic_1_1,87,0.67875,0.656827,1.049684,1.140632
fedprox_synthetic_1_1,88,0.676667,0.653137,1.050673,1.136847
fedprox_synthetic_1_1,89,0.674063,0.645756,1.014032,1.097134
fedprox_synthetic_1_1,90,0.668542,0.639299,1.012275,1.117539
fedprox_synthetic_1_1,91,0.650521,0.617159,1.191779,1.347239
fedprox_synthetic_1_1,92,0.648438,0.622694,1.180291,1.336698
fedprox_synthetic_1_1,93,0.654479,0.632841,1.147014,1.29605
fedprox_synthetic_1_1,94,0.633437,0.597786,1.128777,1.291088
fedprox_synthetic_1_1,95,0.614375,0.585793,1.146414,1.317428
fedprox_synthetic_1_1,96,0.611875,0.581181,1.157533,1.334397
fedprox_synthetic_1_1,97,0.661458,0.623616,0.950861,1.169709
fedprox_synthetic_1_1,98,0.646563,0.605166,0.97236,1.193046
fedprox_synthetic_1_1,99,0.636875,0.599631,0.991772,1.216268
fedprox_synthetic_1_1,100,0.648333,0.630996,1.238521,1.437712
fedprox_synthetic_1_1,101,0.586146,0.571033,2.222804,2.422794
fedprox_synthetic_1_1,102,0.585313,0.573801,2.246854,2.445122
fedprox_synthetic_1_1,103,0.483958,0.504613,2.429184,2.550243
fedprox_synthetic_1_1,104,0.487812,0.505535,2.380634,2.493866
fedprox_synthetic_1_1,105,0.5075,0.520295,2.132492,2.237849
fedprox_synthetic_1_1,106,0.522917,0.537823,2.116729,2.203632
fedprox_synthetic_1_1,107,0.636458,0.632841,1.424148,1.47915
fedprox_synthetic_1_1,108,0.615833,0.615314,1.486799,1.534876
fedprox_synthetic_1_1,109,0.614271,0.596863,1.401219,1.495249
fedprox_synthetic_1_1,110,0.632396,0.612546,1.285461,1.394403
fedprox_synthetic_1_1,111,0.632292,0.613469,1.216624,1.317942
fedprox_synthetic_1_1,112,0.627604,0.611624,1.208257,1.314537
fedprox_synthetic_1_1,113,0.645938,0.624539,1.155034,1.258871
fedprox_synthetic_1_1,114,0.654479,0.629151,1.105947,1.203591
fedprox_synthetic_1_1,115,0.666458,0.641144,1.069717,1.164557
fedprox_synthetic_1_1,116,0.693854,0.671587,0.973122,1.113433
fedprox_synthetic_1_1,117,0.694479,0.666974,1.201034,1.409062
fedprox_synthetic_1_1,118,0.669687,0.659594,1.182275,1.396741
fedprox_synthetic_1_1,119,0.688958,0.654982,1.370277,1.623345
fedprox_synthetic_1_1,120,0.658542,0.630996,1.696893,1.976207
fedprox_synthetic_1_1,121,0.665417,0.633764,2.08535,2.393231
fedprox_synthetic_1_1,122,0.61875,0.599631,2.357032,2.587896
fedprox_synthetic_1_1,123,0.643854,0.630074,1.951325,2.184759
fedprox_synthetic_1_1,124,0.663646,0.642066,1.827296,2.060955
fedprox_synthetic_1_1,125,0.660625,0.641144,1.701054,1.911166
fedprox_synthetic_1_1,126,0.608229,0.601476,1.649519,1.837614
fedprox_synthetic_1_1,127,0.605,0.598708,1.61549,1.800559
fedprox_synthetic_1_1,128,0.59625,0.588561,1.564588,1.740291
fedprox_synthetic_1_1,129,0.593958,0.586716,1.548573,1.721627
fedprox_synthetic_1_1,130,0.589479,0.580258,1.511174,1.672474
fedprox_synthetic_1_1,131,0.583021,0.586716,1.459301,1.609961
fedprox_synthetic_1_1,132,0.580313,0.581181,1.430948,1.574513
fedprox_synthetic_1_1,133,0.577708,0.583948,1.398595,1.534182
fedprox_synthetic_1_1,134,0.576562,0.581181,1.388467,1.521142
fedprox_synthetic_1_1,135,0.700104,0.666974,1.166699,1.271649
fedprox_synthetic_1_1,136,0.633854,0.603321,2.795541,2.888483
fedprox_synthetic_1_1,137,0.633229,0.603321,2.437071,2.53837
fedprox_synthetic_1_1,138,0.628125,0.610701,2.751071,2.848448
fedprox_synthetic_1_1,139,0.63125,0.610701,2.581353,2.674979
fedprox_synthetic_1_1,140,0.62625,0.599631,2.324061,2.417039
fedprox_synthetic_1_1,141,0.607292,0.581181,2.17048,2.268391
fedprox_synthetic_1_1,142,0.603542,0.587638,2.068215,2.169209
fedprox_synthetic_1_1,143,0.685521,0.663284,1.142337,1.239211
fedprox_synthetic_1_1,144,0.646563,0.637454,1.455008,1.618933
fedprox_synthetic_1_1,145,0.592083,0.579336,3.158707,3.447842
fedprox_synthetic_1_1,146,0.606771,0.586716,2.967886,3.23937
fedprox_synthetic_1_1,147,0.573438,0.564576,2.794137,3.046163
fedprox_synthetic_1_1,148,0.520938,0.526753,2.639191,2.865527
fedprox_synthetic_1_1,149,0.641667,0.634686,2.127613,2.295969
fedprox_synthetic_1_1,150,0.629167,0.623616,2.055721,2.17676
fedprox_synthetic_1_1,151,0.60875,0.604244,2.061115,2.17756
fedprox_synthetic_1_1,152,0.625729,0.619004,2.371114,2.499678
fedprox_synthetic_1_1,153,0.644896,0.638376,2.126447,2.286018
fedprox_synthetic_1_1,154,0.636354,0.628229,2.135546,2.288134
fedprox_synthetic_1_1,155,0.612292,0.607934,2.161399,2.307478
fedprox_synthetic_1_1,156,0.584479,0.583948,2.197206,2.342363
fedprox_synthetic_1_1,157,0.668021,0.657749,2.111327,2.323904
fedprox_synthetic_1_1,158,0.663333,0.654059,2.124807,2.328475
fedprox_synthetic_1_1,159,0.671146,0.655904,2.154414,2.322671
fedprox_synthetic_1_1,160,0.662188,0.642989,2.33959,2.489798
fedprox_synthetic_1_1,161,0.659167,0.643911,2.323641,2.455124
fedprox_synthetic_1_1,162,0.639271,0.626384,2.452007,2.570801
fedprox_synthetic_1_1,163,0.590729,0.578413,2.762642,2.837385
fedprox_synthetic_1_1,164,0.579271,0.559041,2.745445,2.836969
fedprox_synthetic_1_1,165,0.57125,0.552583,2.75221,2.847411
fedprox_synthetic_1_1,166,0.636875,0.642989,2.259236,2.2676
fedprox_synthetic_1_1,167,0.593333,0.583948,2.282771,2.307477
fedprox_synthetic_1_1,168,0.630729,0.627306,2.061219,2.03917
fedprox_synthetic_1_1,169,0.625938,0.604244,2.015743,1.996476
fedprox_synthetic_1_1,170,0.603958,0.590406,1.999206,1.987715
fedprox_synthetic_1_1,171,0.588437,0.575646,1.847705,1.869071
fedprox_synthetic_1_1,172,0.575104,0.563653,1.754442,1.802612
