dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_iid,0,0.165446,0.144099,2.267304,2.268019
fedprox_synthetic_iid,1,0.5245,0.51677,1.757164,1.756387
fedprox_synthetic_iid,2,0.536891,0.529193,1.645577,1.65898
fedprox_synthetic_iid,3,0.537736,0.530435,1.622374,1.636488
fedprox_synthetic_iid,4,0.543086,0.535404,1.515828,1.538461
fedprox_synthetic_iid,5,0.543931,0.541615,1.496451,1.518971
fedprox_synthetic_iid,6,0.550268,0.545342,1.411332,1.43976
fedprox_synthetic_iid,7,0.550549,0.546584,1.406937,1.435635
fedprox_synthetic_iid,8,0.5559,0.547826,1.362139,1.394573
fedprox_synthetic_iid,9,0.563081,0.554037,1.326163,1.361356
fedprox_synthetic_iid,10,0.563503,0.554037,1.322755,1.358126
fedprox_synthetic_iid,11,0.572374,0.559006,1.293365,1.33052
fedprox_synthetic_iid,12,0.573219,0.560248,1.289018,1.326337
fedprox_synthetic_iid,13,0.574204,0.560248,1.288135,1.325335
fedprox_synthetic_iid,14,0.574908,0.560248,1.286771,1.323934
fedprox_synthetic_iid,15,0.575613,0.561491,1.283121,1.320306
fedprox_synthetic_iid,16,0.576176,0.561491,1.281937,1.319127
fedprox_synthetic_iid,17,0.576457,0.560248,1.280773,1.317971
fedprox_synthetic_iid,18,0.576176,0.561491,1.27877,1.31592
fedprox_synthetic_iid,19,0.577302,0.561491,1.277459,1.314606
fedprox_synthetic_iid,20,0.578851,0.562733,1.273918,1.311105
fedprox_synthetic_iid,21,0.586877,0.570186,1.251962,1.289834
fedprox_synthetic_iid,22,0.587018,0.570186,1.25082,1.288728
fedprox_synthetic_iid,23,0.596593,0.583851,1.230623,1.269165
fedprox_synthetic_iid,24,0.597156,0.585093,1.228087,1.266775
fedprox_synthetic_iid,25,0.597719,0.586335,1.226999,1.265676
fedprox_synthetic_iid,26,0.598141,0.586335,1.225848,1.264532
fedprox_synthetic_iid,27,0.599268,0.585093,1.224059,1.262773
fedprox_synthetic_iid,28,0.600535,0.585093,1.222183,1.260901
fedprox_synthetic_iid,29,0.601662,0.587578,1.220169,1.258914
fedprox_synthetic_iid,30,0.601943,0.587578,1.219215,1.257966
fedprox_synthetic_iid,31,0.60321,0.587578,1.216046,1.254828
fedprox_synthetic_iid,32,0.61011,0.595031,1.197736,1.236809
fedprox_synthetic_iid,33,0.612081,0.595031,1.194946,1.23405
fedprox_synthetic_iid,34,0.613067,0.596273,1.193337,1.232471
fedprox_synthetic_iid,35,0.613489,0.597516,1.191728,1.230851
fedprox_synthetic_iid,36,0.621656,0.604969,1.174669,1.21405
fedprox_synthetic_iid,37,0.623064,0.604969,1.172148,1.21158
fedprox_synthetic_iid,38,0.623064,0.604969,1.17046,1.209933
fedprox_synthetic_iid,39,0.627851,0.61118,1.152597,1.192431
fedprox_synthetic_iid,40,0.628133,0.61118,1.151289,1.191153
fedprox_synthetic_iid,41,0.628133,0.61118,1.150664,1.190544
fedprox_synthetic_iid,42,0.634047,0.616149,1.134948,1.175191
fedprox_synthetic_iid,43,0.634469,0.616149,1.132746,1.173054
fedprox_synthetic_iid,44,0.635032,0.617391,1.131497,1.171832
fedprox_synthetic_iid,45,0.639116,0.621118,1.118616,1.15918
fedprox_synthetic_iid,46,0.639257,0.621118,1.117907,1.158496
fedprox_synthetic_iid,47,0.639397,0.62236,1.116354,1.156996
fedprox_synthetic_iid,48,0.640383,0.62236,1.114214,1.15493
fedprox_synthetic_iid,49,0.642495,0.623602,1.101821,1.142916
fedprox_synthetic_iid,50,0.646297,0.629814,1.091128,1.132594
fedprox_synthetic_iid,51,0.647282,0.631056,1.089289,1.130825
fedprox_synthetic_iid,52,0.647282,0.632298,1.088832,1.130391
fedprox_synthetic_iid,53,0.649113,0.631056,1.077942,1.119874
fedprox_synthetic_iid,54,0.649817,0.632298,1.076228,1.118221
fedprox_synthetic_iid,55,0.649958,0.632298,1.07492,1.116962
fedprox_synthetic_iid,56,0.650521,0.63354,1.073954,1.116029
fedprox_synthetic_iid,57,0.651084,0.636025,1.072691,1.114802
fedprox_synthetic_iid,58,0.6539,0.639752,1.062003,1.104417
fedprox_synthetic_iid,59,0.6539,0.640994,1.061087,1.103526
fedprox_synthetic_iid,60,0.657702,0.639752,1.050498,1.093249
fedprox_synthetic_iid,61,0.658969,0.64472,1.040367,1.083435
fedprox_synthetic_iid,62,0.658969,0.64472,1.038896,1.082025
fedprox_synthetic_iid,63,0.659814,0.645963,1.037416,1.080592
fedprox_synthetic_iid,64,0.662349,0.648447,1.027831,1.071276
fedprox_synthetic_iid,65,0.662208,0.648447,1.026572,1.070049
fedprox_synthetic_iid,66,0.662771,0.648447,1.02571,1.069204
fedprox_synthetic_iid,67,0.664602,0.650932,1.017279,1.060994
fedprox_synthetic_iid,68,0.666714,0.654658,1.007979,1.051968
fedprox_synthetic_iid,69,0.666854,0.653416,1.007324,1.051337
fedprox_synthetic_iid,70,0.668544,0.658385,0.999197,1.043514
fedprox_synthetic_iid,71,0.668826,0.658385,0.998056,1.042422
fedprox_synthetic_iid,72,0.67136,0.657143,0.990562,1.035246
fedprox_synthetic_iid,73,0.67136,0.657143,0.989871,1.034603
fedprox_synthetic_iid,74,0.671642,0.657143,0.989224,1.03397
fedprox_synthetic_iid,75,0.674035,0.658385,0.982569,1.027636
fedprox_synthetic_iid,76,0.675866,0.66087,0.975744,1.021165
fedprox_synthetic_iid,77,0.677837,0.663354,0.968964,1.014718
fedprox_synthetic_iid,78,0.67826,0.663354,0.968374,1.014156
fedprox_synthetic_iid,79,0.679668,0.665839,0.961744,1.007833
fedprox_synthetic_iid,80,0.681639,0.668323,0.954744,1.001187
fedprox_synthetic_iid,81,0.68178,0.669565,0.954205,1.000671
fedprox_synthetic_iid,82,0.682061,0.669565,0.953649,1.000132
fedprox_synthetic_iid,83,0.682061,0.670807,0.953102,0.999611
fedprox_synthetic_iid,84,0.682343,0.670807,0.952513,0.999041
fedprox_synthetic_iid,85,0.682625,0.670807,0.951889,0.998445
fedprox_synthetic_iid,86,0.682765,0.67205,0.951365,0.99795
fedprox_synthetic_iid,87,0.685159,0.67205,0.945657,0.99253
fedprox_synthetic_iid,88,0.685159,0.67205,0.945382,0.992261
fedprox_synthetic_iid,89,0.685159,0.67205,0.944656,0.991556
fedprox_synthetic_iid,90,0.685582,0.67205,0.944144,0.991062
fedprox_synthetic_iid,91,0.685582,0.67205,0.943858,0.990785
fedprox_synthetic_iid,92,0.685863,0.67205,0.943349,0.990293
fedprox_synthetic_iid,93,0.687834,0.673292,0.937728,0.984877
fedprox_synthetic_iid,94,0.688257,0.673292,0.937229,0.984396
fedprox_synthetic_iid,95,0.688679,0.673292,0.936421,0.983631
fedprox_synthetic_iid,96,0.68882,0.67205,0.936141,0.983363
fedprox_synthetic_iid,97,0.690228,0.675776,0.930156,0.977649
fedprox_synthetic_iid,98,0.690369,0.675776,0.929301,0.976823
fedprox_synthetic_iid,99,0.69051,0.675776,0.928676,0.97622
