dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_mnist,0,0.195092,0.19298,3.668814,3.677213
fedprox_mnist,1,0.233971,0.233907,3.361359,3.364283
fedprox_mnist,2,0.302208,0.308578,2.895538,2.902035
fedprox_mnist,3,0.320487,0.327416,2.70169,2.708625
fedprox_mnist,4,0.399981,0.40168,2.267394,2.266731
fedprox_mnist,5,0.479879,0.488549,1.836596,1.829261
fedprox_mnist,6,0.510713,0.51755,1.705266,1.698787
fedprox_mnist,7,0.522375,0.52663,1.697479,1.698235
fedprox_mnist,8,0.533518,0.541266,1.64893,1.648162
fedprox_mnist,9,0.605048,0.60618,1.333962,1.353476
fedprox_mnist,10,0.637536,0.640602,1.231485,1.244419
fedprox_mnist,11,0.650333,0.651714,1.17699,1.188029
fedprox_mnist,12,0.648841,0.647784,1.177748,1.185292
fedprox_mnist,13,0.671646,0.671365,1.102301,1.108874
fedprox_mnist,14,0.690364,0.687898,1.042941,1.046583
fedprox_mnist,15,0.709081,0.707413,0.998453,1.001105
fedprox_mnist,16,0.722982,0.725302,0.949342,0.949217
fedprox_mnist,17,0.733736,0.737498,0.927613,0.924825
fedprox_mnist,18,0.748301,0.752405,0.893752,0.890152
fedprox_mnist,19,0.743922,0.746849,0.909451,0.905225
fedprox_mnist,20,0.757871,0.761892,0.875346,0.870678
fedprox_mnist,21,0.76105,0.767177,0.870687,0.862923
fedprox_mnist,22,0.769176,0.775715,0.835533,0.832918
fedprox_mnist,23,0.781892,0.79008,0.790546,0.783939
fedprox_mnist,24,0.780935,0.790893,0.791662,0.78482
fedprox_mnist,25,0.805962,0.81095,0.707198,0.698184
fedprox_mnist,26,0.807893,0.81217,0.701329,0.691777
fedprox_mnist,27,0.816213,0.818404,0.66349,0.654448
fedprox_mnist,28,0.810309,0.815964,0.689615,0.678516
fedprox_mnist,29,0.806692,0.811899,0.704689,0.694502
fedprox_mnist,30,0.806887,0.81366,0.704116,0.693509
fedprox_mnist,31,0.806465,0.813254,0.705375,0.694823
fedprox_mnist,32,0.79808,0.805665,0.740237,0.728288
fedprox_mnist,33,0.79941,0.805394,0.737178,0.725069
fedprox_mnist,34,0.800529,0.806884,0.7311,0.719916
fedprox_mnist,35,0.800902,0.806613,0.732369,0.721403
fedprox_mnist,36,0.813148,0.818268,0.69246,0.681743
fedprox_mnist,37,0.775875,0.780729,0.756607,0.74991
fedprox_mnist,38,0.780968,0.783168,0.741216,0.735692
fedprox_mnist,39,0.784974,0.789131,0.731381,0.726356
fedprox_mnist,40,0.792954,0.794688,0.713229,0.709144
fedprox_mnist,41,0.787293,0.788318,0.724529,0.719014
fedprox_mnist,42,0.816035,0.8161,0.650001,0.645255
fedprox_mnist,43,0.813602,0.818133,0.703463,0.692481
fedprox_mnist,44,0.804016,0.80824,0.746161,0.732938
fedprox_mnist,45,0.807584,0.812576,0.735974,0.723991
fedprox_mnist,46,0.787829,0.790622,0.828429,0.812082
fedprox_mnist,47,0.787439,0.791842,0.830671,0.814006
fedprox_mnist,48,0.74603,0.749017,1.043275,1.027565
fedprox_mnist,49,0.757854,0.759859,0.991422,0.975663
fedprox_mnist,50,0.782882,0.787912,0.874936,0.86143
fedprox_mnist,51,0.799183,0.802683,0.818589,0.806123
fedprox_mnist,52,0.798161,0.802819,0.82318,0.810306
fedprox_mnist,53,0.796003,0.800244,0.835469,0.823269
fedprox_mnist,54,0.681459,0.68722,1.604378,1.611161
fedprox_mnist,55,0.673138,0.67787,1.706015,1.710329
fedprox_mnist,56,0.680178,0.68451,1.663601,1.667986
fedprox_mnist,57,0.690299,0.6963,1.603523,1.607904
fedprox_mnist,58,0.698733,0.705245,1.562042,1.56768
fedprox_mnist,59,0.706843,0.712292,1.49818,1.501672
fedprox_mnist,60,0.727864,0.73018,1.359144,1.365869
fedprox_mnist,61,0.733363,0.737769,1.324972,1.326106
fedprox_mnist,62,0.733995,0.73804,1.325185,1.325656
fedprox_mnist,63,0.714337,0.718661,1.458939,1.458368
fedprox_mnist,64,0.709017,0.712698,1.510568,1.511168
fedprox_mnist,65,0.710314,0.712292,1.539289,1.536136
fedprox_mnist,66,0.741797,0.747256,1.338279,1.339451
fedprox_mnist,67,0.751983,0.758233,1.273657,1.280119
fedprox_mnist,68,0.773279,0.777341,1.128154,1.133849
fedprox_mnist,69,0.770149,0.775173,1.151943,1.157488
fedprox_mnist,70,0.781227,0.784524,1.083125,1.088038
fedprox_mnist,71,0.829043,0.8306,0.779461,0.786872
fedprox_mnist,72,0.830471,0.832904,0.771958,0.779164
fedprox_mnist,73,0.830097,0.832498,0.775106,0.782854
fedprox_mnist,74,0.8149,0.818539,0.874423,0.885307
fedprox_mnist,75,0.799815,0.803767,0.993102,1.004927
fedprox_mnist,76,0.809498,0.812305,0.948554,0.961615
fedprox_mnist,77,0.813213,0.8161,0.925085,0.938702
fedprox_mnist,78,0.819198,0.822334,0.889526,0.901967
fedprox_mnist,79,0.800415,0.803496,1.035299,1.047988
fedprox_mnist,80,0.807974,0.811899,0.982058,0.990809
fedprox_mnist,81,0.818079,0.822063,0.92293,0.926953
fedprox_mnist,82,0.838824,0.841306,0.781627,0.785078
fedprox_mnist,83,0.839278,0.84212,0.782227,0.785312
fedprox_mnist,84,0.840089,0.843339,0.776505,0.779307
fedprox_mnist,85,0.843025,0.845779,0.759977,0.761524
fedprox_mnist,86,0.829935,0.831956,0.861264,0.866168
fedprox_mnist,87,0.83725,0.840087,0.814828,0.815751
fedprox_mnist,88,0.837802,0.841171,0.811803,0.812426
fedprox_mnist,89,0.837364,0.841035,0.813203,0.813955
fedprox_mnist,90,0.83725,0.841577,0.811764,0.812881
fedprox_mnist,91,0.836423,0.840629,0.816228,0.817281
fedprox_mnist,92,0.830795,0.836021,0.851562,0.852641
fedprox_mnist,93,0.828946,0.833988,0.868129,0.870109
fedprox_mnist,94,0.819847,0.824095,0.936063,0.937115
fedprox_mnist,95,0.821988,0.825857,0.920361,0.921876
fedprox_mnist,96,0.823464,0.828568,0.911835,0.914827
fedprox_mnist,97,0.825897,0.830329,0.89887,0.902605
fedprox_mnist,98,0.827421,0.8306,0.886564,0.888443
fedprox_mnist,99,0.829286,0.832904,0.875071,0.877301
fedprox_mnist,100,0.849529,0.85662,0.729504,0.72933
fedprox_mnist,101,0.847874,0.8554,0.743019,0.7436
fedprox_mnist,102,0.846901,0.854723,0.748266,0.748557
fedprox_mnist,103,0.846577,0.854723,0.75225,0.75288
fedprox_mnist,104,0.83957,0.848218,0.792511,0.792335
fedprox_mnist,105,0.841954,0.849844,0.779286,0.779189
fedprox_mnist,106,0.843171,0.851335,0.771903,0.771573
fedprox_mnist,107,0.85506,0.862176,0.701834,0.700421
fedprox_mnist,108,0.854622,0.861499,0.70547,0.704638
fedprox_mnist,109,0.851589,0.85784,0.735364,0.738728
fedprox_mnist,110,0.848507,0.853097,0.758314,0.762814
fedprox_mnist,111,0.848621,0.853232,0.757065,0.761527
fedprox_mnist,112,0.837786,0.841848,0.81348,0.82036
fedprox_mnist,113,0.835888,0.840764,0.825015,0.833715
fedprox_mnist,114,0.82674,0.833853,0.887102,0.896667
fedprox_mnist,115,0.809823,0.816506,1.023801,1.03252
fedprox_mnist,116,0.808039,0.813796,1.040596,1.049962
