dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_0_0,0,0.135882,0.147157,2.357474,2.34798
fedprox_synthetic_0_0,1,0.363235,0.361204,1.733718,1.719828
fedprox_synthetic_0_0,2,0.609765,0.61427,1.346655,1.329396
fedprox_synthetic_0_0,3,0.618092,0.615385,1.318684,1.302593
fedprox_synthetic_0_0,4,0.674489,0.682274,1.168161,1.147816
fedprox_synthetic_0_0,5,0.677012,0.685619,1.087507,1.064421
fedprox_synthetic_0_0,6,0.702372,0.712375,1.022273,0.99448
fedprox_synthetic_0_0,7,0.704769,0.712375,0.989392,0.959574
fedprox_synthetic_0_0,8,0.703003,0.71126,0.940026,0.906397
fedprox_synthetic_0_0,9,0.715998,0.722408,0.908758,0.873013
fedprox_synthetic_0_0,10,0.759778,0.769231,0.859514,0.822075
fedprox_synthetic_0_0,11,0.765582,0.774805,0.842162,0.802128
fedprox_synthetic_0_0,12,0.766969,0.778149,0.829023,0.78828
fedprox_synthetic_0_0,13,0.766591,0.77369,0.758014,0.717175
fedprox_synthetic_0_0,14,0.765203,0.772575,0.713821,0.674172
fedprox_synthetic_0_0,15,0.774918,0.780379,0.68693,0.647883
fedprox_synthetic_0_0,16,0.777189,0.785953,0.668764,0.631726
fedprox_synthetic_0_0,17,0.77782,0.789298,0.661306,0.627973
fedprox_synthetic_0_0,18,0.772899,0.789298,0.667206,0.63696
fedprox_synthetic_0_0,19,0.773278,0.787068,0.669804,0.638602
fedprox_synthetic_0_0,20,0.775296,0.784838,0.657788,0.626403
fedprox_synthetic_0_0,21,0.773909,0.781494,0.649028,0.616216
fedprox_synthetic_0_0,22,0.776053,0.783724,0.637505,0.604879
fedprox_synthetic_0_0,23,0.776053,0.789298,0.628585,0.594992
fedprox_synthetic_0_0,24,0.775549,0.791527,0.623264,0.59057
fedprox_synthetic_0_0,25,0.776432,0.790412,0.613821,0.58186
fedprox_synthetic_0_0,26,0.780091,0.789298,0.59851,0.565419
fedprox_synthetic_0_0,27,0.783119,0.791527,0.592322,0.559625
fedprox_synthetic_0_0,28,0.785264,0.791527,0.586931,0.553428
fedprox_synthetic_0_0,29,0.788166,0.795987,0.58379,0.551068
fedprox_synthetic_0_0,30,0.792203,0.799331,0.579538,0.54817
fedprox_synthetic_0_0,31,0.79296,0.797101,0.57812,0.546637
fedprox_synthetic_0_0,32,0.792329,0.794872,0.577115,0.546189
fedprox_synthetic_0_0,33,0.791067,0.794872,0.576131,0.545615
fedprox_synthetic_0_0,34,0.793086,0.797101,0.572183,0.543688
fedprox_synthetic_0_0,35,0.793969,0.799331,0.570261,0.541024
fedprox_synthetic_0_0,36,0.794726,0.799331,0.56825,0.538829
fedprox_synthetic_0_0,37,0.795483,0.798216,0.566231,0.536889
fedprox_synthetic_0_0,38,0.793591,0.804905,0.563384,0.534424
fedprox_synthetic_0_0,39,0.794222,0.80825,0.562721,0.534701
fedprox_synthetic_0_0,40,0.793717,0.807135,0.563973,0.536858
fedprox_synthetic_0_0,41,0.79296,0.807135,0.564822,0.538363
fedprox_synthetic_0_0,42,0.793212,0.80379,0.561578,0.535078
fedprox_synthetic_0_0,43,0.793465,0.802676,0.557768,0.5299
fedprox_synthetic_0_0,44,0.79296,0.804905,0.555258,0.526015
fedprox_synthetic_0_0,45,0.793843,0.807135,0.55226,0.522609
fedprox_synthetic_0_0,46,0.793086,0.80379,0.550334,0.521177
fedprox_synthetic_0_0,47,0.792077,0.799331,0.548783,0.520052
fedprox_synthetic_0_0,48,0.790184,0.795987,0.54922,0.521
fedprox_synthetic_0_0,49,0.793338,0.800446,0.547941,0.519976
