dataset,round,train_accuracy,test_accuracy,train_loss,test_loss
fedprox_synthetic_0.5_0.5,0,0.438438,0.450658,1.631387,1.643453
fedprox_synthetic_0.5_0.5,1,0.422691,0.434211,3.115812,3.163611
fedprox_synthetic_0.5_0.5,2,0.425294,0.439693,3.033703,3.079272
fedprox_synthetic_0.5_0.5,3,0.410911,0.408991,2.393549,2.44899
fedprox_synthetic_0.5_0.5,4,0.375201,0.377193,2.311425,2.375139
fedprox_synthetic_0.5_0.5,5,0.372102,0.371711,2.143675,2.208837
fedprox_synthetic_0.5_0.5,6,0.331556,0.320175,2.093107,2.164755
fedprox_synthetic_0.5_0.5,7,0.277619,0.262061,2.06993,2.145724
fedprox_synthetic_0.5_0.5,8,0.249597,0.234649,2.091466,2.169739
fedprox_synthetic_0.5_0.5,9,0.278735,0.274123,2.081443,2.161848
fedprox_synthetic_0.5_0.5,10,0.712957,0.729167,1.063126,1.172097
fedprox_synthetic_0.5_0.5,11,0.711469,0.725877,1.072644,1.180244
fedprox_synthetic_0.5_0.5,12,0.709485,0.723684,1.09607,1.199235
fedprox_synthetic_0.5_0.5,13,0.716925,0.724781,1.159017,1.246038
fedprox_synthetic_0.5_0.5,14,0.716925,0.717105,1.263312,1.335615
fedprox_synthetic_0.5_0.5,15,0.694978,0.690789,1.172997,1.311244
fedprox_synthetic_0.5_0.5,16,0.70465,0.711623,1.382979,1.568995
fedprox_synthetic_0.5_0.5,17,0.708246,0.719298,1.242053,1.37349
fedprox_synthetic_0.5_0.5,18,0.669684,0.664474,1.26535,1.402696
fedprox_synthetic_0.5_0.5,19,0.667948,0.662281,1.256154,1.390949
fedprox_synthetic_0.5_0.5,20,0.663608,0.656798,1.239298,1.371305
fedprox_synthetic_0.5_0.5,21,0.655673,0.645833,1.213462,1.336414
fedprox_synthetic_0.5_0.5,22,0.620831,0.60636,1.25027,1.376448
fedprox_synthetic_0.5_0.5,23,0.585369,0.559211,1.279584,1.402483
fedprox_synthetic_0.5_0.5,24,0.575449,0.555921,1.293878,1.416181
fedprox_synthetic_0.5_0.5,25,0.693986,0.702851,1.022851,1.064972
fedprox_synthetic_0.5_0.5,26,0.688531,0.689693,1.042464,1.084958
fedprox_synthetic_0.5_0.5,27,0.692746,0.700658,1.037448,1.074219
fedprox_synthetic_0.5_0.5,28,0.693986,0.701754,1.044803,1.076263
fedprox_synthetic_0.5_0.5,29,0.705394,0.72807,1.256679,1.202607
fedprox_synthetic_0.5_0.5,30,0.715437,0.730263,1.207917,1.147195
fedprox_synthetic_0.5_0.5,31,0.718909,0.733553,1.195606,1.129972
fedprox_synthetic_0.5_0.5,32,0.717421,0.739035,1.164664,1.08484
fedprox_synthetic_0.5_0.5,33,0.717793,0.741228,1.165294,1.081514
fedprox_synthetic_0.5_0.5,34,0.696962,0.723684,1.384856,1.321574
fedprox_synthetic_0.5_0.5,35,0.685679,0.720395,1.646654,1.607806
fedprox_synthetic_0.5_0.5,36,0.682951,0.70614,1.594178,1.570188
fedprox_synthetic_0.5_0.5,37,0.726844,0.743421,1.429868,1.514715
fedprox_synthetic_0.5_0.5,38,0.722629,0.730263,1.402119,1.491289
fedprox_synthetic_0.5_0.5,39,0.717173,0.718202,1.360582,1.446843
fedprox_synthetic_0.5_0.5,40,0.69783,0.694079,1.328933,1.411581
fedprox_synthetic_0.5_0.5,41,0.673156,0.661184,1.31792,1.397197
fedprox_synthetic_0.5_0.5,42,0.655425,0.652412,1.317688,1.393724
fedprox_synthetic_0.5_0.5,43,0.638438,0.630482,1.334403,1.410833
fedprox_synthetic_0.5_0.5,44,0.582021,0.571272,1.393234,1.468309
fedprox_synthetic_0.5_0.5,45,0.544327,0.525219,1.451189,1.52657
fedprox_synthetic_0.5_0.5,46,0.510973,0.482456,1.570066,1.647359
fedprox_synthetic_0.5_0.5,47,0.498078,0.476974,1.670691,1.749866
fedprox_synthetic_0.5_0.5,48,0.709361,0.70943,0.965412,0.976127
fedprox_synthetic_0.5_0.5,49,0.697458,0.722588,1.325553,1.300986
